stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,44.69,2.63,0,13.14,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,75.53,0,0,12.59,0,0,0,0
 14-21,0,0,2,9,2,1,0,0,0,0,0,0,0,3,13,0,1,0,1,2,5,0
 24-34,0,0,0,2.46,1.64,0,0,0.82,0,0,0,1.64,0,0,22.16,0,0,0,0,0,0.82,0
 36-46,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0.81,0,1.61,5.64,0.81,0,0,0,0,0.81,0.81
 48-58,0,0,0,1.15,0,0,0.57,0.57,0,0,0,1.72,0,0,0.57,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.91,0,1.96,5.89,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,0,2.12,0,0,2.12,4.25,0,1.06,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,4.37,0,1.09,1.09,1.09,0,0,0,9.84,0,1.09,2.19,1.09,0,0,0,0,0,0
108-118,0,0,0.77,4.6,1.53,2.3,0,0,0,0.77,0,5.36,0,0,6.13,0,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,3.92,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,1.96
