stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,76,0,0,0,1,0,0,0,0
 24-34,0,0,0,9.03,0,0,4.1,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,2.46,0,0.82,15.6,0.82,3.28,1.64,0,0,186.33,3.28,0,0.82,1.64,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,13.7,0,0.81,0.81,0.81,0,0,0.81,0,0,0,4.83,0.81,1.61,0,0,12.89,0,1.61,0,0,0,297.29,1.61,0,0,3.22,0,0,0,0.81
 48-58,0,0,0,8.61,0,0,22.38,0,2.3,2.3,2.3,0,0,1.15,0,0.57,0,9.75,2.87,2.3,0.57,0.57,22.95,0,1.15,0.57,0,0,397.65,0.57,0,0,5.16,0,0.57,0,0
 60-70,0,0,0,11.78,0,0,7.85,0,1.96,0.98,9.82,0,0,1.96,0,0,0.98,6.87,1.96,0,0,0.98,26.5,0,0.98,0,0,0,212.99,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,24.54,0.98,0,9.82,0.98,1.96,4.91,78.53,0,0,0.98,2.94,0,0.98,5.89,6.87,0.98,0,0,42.21,0,0,2.94,0,0,140.38,1.96,0,0,3.93,0.98,0,0,0.98
 84-94,0,0,1.06,61.6,1.06,0,12.74,0,8.5,4.25,169.93,0,1.06,13.81,9.56,0,0,9.56,5.31,3.19,0,0,25.49,0,2.12,4.25,0,0,582,6.37,0,0,1.06,1.06,1.06,0,0
 96-106,0,0,4.37,54.64,5.46,0,10.93,0,3.28,5.46,311.46,0,2.19,8.74,3.28,0,3.28,2.19,8.74,2.19,0,0,50.27,0,2.19,2.19,0,1.09,221.85,9.84,0,0,2.19,0,0,0,0
108-118,0,0,1.53,51.32,0.77,0.77,16.85,0,9.19,1.53,391.41,0,0.77,9.96,16.09,0.77,3.06,4.6,8.43,1.53,0,1.53,48.26,0,0.77,0,0,0,170.04,18.38,0.77,0,0,2.3,0,0,0
120,1.96,0,1.96,31.36,1.96,1.96,11.76,0,3.92,0,227.34,0,0,1.96,9.8,0,5.88,5.88,0,0,0,1.96,47.03,0,0,0,0,0,60.75,5.88,0,0,0,1.96,1.96,1.96,0
