stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,5
 24-34,0,0,0.82,0.82,4.1,0,0,0,0,0,0,0.82,0,0,27.91,0,0,0,0,0,0,0,9.85
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0,2.42,0,0,8.06,0,0,0,0,0,0,0,2.42
 48-58,0,0,1.15,0,4.02,0,0,0,0,0,0.57,0.57,0.57,0,4.02,0.57,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0,0.98,4.91,0,0,0.98,0,0.98,0,0,0
 72-82,0,0.98,0,0,1.96,0,1.96,0,0,0,0,2.94,0,0,4.91,0,0,0.98,0,0.98,0,0,1.96
 84-94,0,0,0,0,2.12,0,2.12,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,0,1.09,1.09,1.09,0,0,0,2.19,0,0,3.28,0,0,0,0,3.28,0,0,0
108-118,0,0,1.53,0,3.06,0.77,0,0.77,0.77,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,5.88,1.96,0,0,0,5.88,0,1.96,1.96
