stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,6,2,0,3,0,0,1,0,0,8,0,0,0,0,4,0,3,54,0,0,1,1,0,0,0,3,0,7,11,0,0,0
 24-34,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0,41.04,0,0,0,0,4.93,0,1.64,55,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,8.86,0,0,0,0,0,63.65,0,0,0,0,11.28,0.81,1.61,63.65,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,26.4,0,0,5.74,0,0,73.45,0,0.57,0,0,8.61,0,1.15,50.49,0,0,0,0,0,0.57,0,0,0,0,10.33,0,0,1.72
 60-70,0,0,0,0,0.98,0,0,19.63,0,0,0.98,0.98,0.98,64.78,0,0,0,0,6.87,0,0,45.15,0.98,0,0,0,0,0.98,0,0,0,0,7.85,0,0,1.96
 72-82,0,0,0,0,0,3.93,0,12.76,0,1.96,4.91,0,0,115.84,0,0,0,0,8.83,0,0,26.5,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,2.94
 84-94,0,0,0,0,2.12,4.25,0,9.56,0,0,1.06,0,0,151.87,0,0,0,0,9.56,1.06,0,14.87,0,1.06,0,0,1.06,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,2.19,2.19,0,7.65,0,1.09,5.46,1.09,0,170.48,0,1.09,1.09,0,7.65,0,1.09,17.49,0,2.19,0,0,0,3.28,0,0,0,0,0,0,1.09,5.46
108-118,0,0,0,0,3.83,0.77,0.77,3.83,0.77,0,1.53,0,0,151.66,0.77,0.77,0,0.77,8.43,0,2.3,14.55,0,0.77,1.53,0,0,0.77,0,0,0.77,0,1.53,0,0,3.06
120,0,0,0,0,1.96,7.84,0,1.96,0,1.96,5.88,0,0,166.58,0,0,0,0,3.92,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
