stage,blastomeres,eye,glial,immune,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,2,0,0
 24-34,0,0.82,0,0,0.82,0,0,1.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0.98,0.98,0.98,0,0,0.98,0,0,0.98,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,0,0.77,0,0,0,0,3.83,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0
