stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.03,2.63,0,0,23.66,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,24,1,0,0,0,0,6,0,2,0,7,9,0,1,0,0
 24-34,0,0,0,3.28,0.82,13.95,0,0.82,2.46,0,0.82,0.82,0,0,0,0.82,0.82,9.03,0,0,3.28,83.73,2.46,1.64,0,0,0,0.82,0,0,0,0,27.09,0,0.82,0,5.75
 36-46,0,0,0,0,2.42,39.48,0,0.81,0.81,0,0,0,0,0,0.81,0,0.81,8.86,0,0,1.61,117.63,0,0,0,0,0,0.81,0,0,0.81,0,29,0,0,0,2.42
 48-58,0,0,0,0.57,1.15,55.09,0,0,5.16,0,0.57,0.57,0.57,0,0.57,0,0.57,12.62,0,0,1.72,131.98,0.57,0.57,1.15,0,0,1.15,0,0,0,0,22.38,0,2.3,0,4.02
 60-70,0,0,0,2.94,0.98,53,0.98,0,7.85,0,0,0,0,0,0,0,0,9.82,1.96,0,1.96,149.19,0,0,0,0,0,1.96,0,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0.98,15.71,46.14,0,0,17.67,0,0,0.98,0,0,0,0,0,32.39,0.98,1.96,1.96,172.77,0,0.98,0.98,0,0,1.96,0,0,0,0,0.98,0.98,4.91,2.94,0
 84-94,0,0,0,2.12,4.25,37.17,0,0,4.25,1.06,0,1.06,0,0,0,0,0,31.86,0,0,0,63.72,0,0,4.25,0,1.06,5.31,0,0,0,0,2.12,0,3.19,1.06,0
 96-106,0,0,0,2.19,10.93,26.23,0,0,10.93,0,0,1.09,0,0,1.09,0,0,32.79,0,1.09,1.09,59.01,0,1.09,4.37,0,0,2.19,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,2.3,10.72,22.98,0,0,10.72,0,0,2.3,0.77,0.77,0.77,0,0,40.6,0,1.53,0,49.79,0.77,0,1.53,0,0,1.53,0,0,0,0,1.53,0,2.3,1.53,0
120,0,0,0,0,9.8,19.6,0,0,11.76,1.96,0,7.84,0,0,0,0,0,39.2,0,0,0,76.43,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0,0
