stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,386.17,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,10.51,0,18.4,0,0,21.03,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,199.78,34.17,0,0,76.23,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,6.29,0,12.59,0,0,50.35,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,355.61,84.97,0,0,191.97,0,0,0,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,31,24,28,0,0,0,5,1,0,2,0,0,0,0,0,0,23,0,0,29,196,33,0,2,1,0,10,1,27,1,39,50,0,0,6,0,0
 24-34,0,0,0,1.64,5.75,3.28,50.07,0,0,0,4.93,0,0,5.75,0.82,4.93,0.82,1.64,2.46,0,46.79,0,0,20.52,305.36,6.57,0.82,1.64,0,0.82,5.75,0,0.82,0.82,4.93,64.03,0,0,36.94,0,0.82
 36-46,0,0,0,0,2.42,1.61,103.13,0,0,0,3.22,0,0,6.45,2.42,0.81,0.81,0.81,0,0,43.51,0,4.83,16.11,157.11,3.22,2.42,0.81,0,0,4.83,0,0,0,0,41.09,0,0,34.64,0,0.81
 48-58,0,0,0,0,1.72,0,251.33,0,0,0.57,2.87,0.57,12.05,9.75,0.57,1.15,0.57,0,0,0,47.63,0,6.89,10.33,48.77,0.57,0.57,1.15,0,0.57,0,0,0,0,0,14.35,0,1.72,31.56,0,1.15
 60-70,0,0,0,0,2.94,0.98,728.29,0,0.98,0,8.83,0,4.91,4.91,0.98,0,2.94,0,0.98,0,56.93,0,9.82,9.82,53,1.96,0,0.98,0,2.94,0,0,0,0.98,0,3.93,0,2.94,26.5,0.98,0
 72-82,0,0,0,0,8.83,0.98,815.76,0.98,0,3.93,41.23,0.98,0.98,5.89,3.93,1.96,0.98,0.98,0.98,0,72.64,0,14.72,7.85,68.72,0,1.96,2.94,0,4.91,0.98,0,0,0,0,2.94,0.98,8.83,61.84,12.76,0
 84-94,1.06,0,0,0,9.56,3.19,511.9,1.06,1.06,3.19,27.61,3.19,4.25,3.19,4.25,2.12,1.06,0,0,1.06,60.54,0,15.93,4.25,33.99,0,2.12,6.37,0,5.31,2.12,0,0,1.06,0,3.19,0,9.56,47.79,10.62,0
 96-106,0,0,1.09,0,10.93,2.19,403.26,1.09,1.09,0,43.71,2.19,0,8.74,3.28,4.37,0,0,0,1.09,31.69,1.09,13.11,4.37,51.36,0,1.09,5.46,0,8.74,2.19,0,0,1.09,0,0,0,7.65,49.18,13.11,2.19
108-118,0,0,0.77,0,8.43,3.06,292.6,0,2.3,2.3,26.04,3.06,0,4.6,3.06,3.83,4.6,0,2.3,0.77,37.53,1.53,8.43,6.13,43.66,3.83,0,4.6,0,6.89,1.53,0,0,0.77,0,1.53,0,3.83,42.13,6.13,0
120,0,0,0,0,13.72,1.96,256.73,3.92,0,0,29.4,7.84,0,3.92,7.84,3.92,3.92,0,0,1.96,25.48,0,5.88,0,41.16,0,0,7.84,0,3.92,5.88,0,0,1.96,0,0,0,7.84,37.24,7.84,0
