stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,32,3,0,1,0,0,0,3,0,0,29,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,1.64,121.49,0,0,0,0,0.82,1.64,0,0,0,54.18,0,0,0,0
 36-46,0,0,0.81,0,0.81,6.45,0,0,0,5.64,0,0,0.81,0,0,0,0,0.81,3.22,0,0.81,1.61,277.96,0,2.42,0,0,0,0,0,0,0,59.62,0.81,0.81,0,0
 48-58,0,0,0,0,0,33.28,0,0,0.57,7.46,0,0,0,0,0,0,0,0.57,6.31,0,0,0,322.48,0,0,0,0,0.57,0.57,0,0,0,61.97,0,2.3,0,0.57
 60-70,0,0,0,0.98,0,190.42,0,0,0.98,7.85,0,0,0,0,0,0,0.98,0,6.87,0,0,0,632.1,0,0,0,0,0.98,1.96,0,0,0.98,59.87,0,0,0,2.94
 72-82,0,0,0.98,3.93,1.96,318.06,0,0.98,0.98,20.61,1.96,0,0,0.98,0,0.98,0,1.96,14.72,0.98,0.98,0.98,535.01,0,0,0,0,0,0,0,0,0,28.47,0,2.94,0,2.94
 84-94,0,0,0,4.25,1.06,221.97,0,1.06,2.12,25.49,1.06,0,0,1.06,0,1.06,1.06,0,10.62,0,2.12,0,322.86,0,0,1.06,0,0,2.12,0,0,0,25.49,1.06,1.06,1.06,1.06
 96-106,0,0,0,7.65,0,227.31,1.09,0,0,20.76,1.09,0,0,1.09,0,1.09,1.09,0,15.3,0,1.09,3.28,272.12,0,0,2.19,0,0,4.37,0,0,1.09,7.65,1.09,1.09,2.19,1.09
108-118,0,0,0,7.66,1.53,157.02,0,0,0,18.38,0,0,0,0,1.53,0,0,0,7.66,0,0.77,0.77,283.41,0,0,1.53,0,0,0.77,0,0.77,0,9.19,0.77,0,0.77,0.77
120,0,0,0,7.84,0,103.87,0,0,1.96,15.68,0,0,0,0,0,0,0,0,9.8,0,0,3.92,360.6,0,1.96,0,0,0,0,0,0,0,9.8,0,1.96,0,0
