stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,73.56,796.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,10.51,7.89,13.14,0,0,42.06,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,304.93,15.77,0,0,123.55,5.26,2.63,0,0,0,0,0,0
 10-12,0,12.59,15.73,0,3.15,40.91,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,223.43,15.73,0,0,75.53,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48,1,0,0,0,1,0,7,0,6,15,0,0
 24-34,0,0,0,4.1,0,15.6,0,0,5.75,0,0,0.82,0,1.64,0,0,0,13.13,0,0,3.28,99.32,0,0,0.82,0,4.1,0,0,0,2.46,27.09,1.64,0
 36-46,0,0,0,0.81,1.61,16.92,0,0,3.22,0,0,0,0.81,0.81,0,0,0,11.28,0,0.81,5.64,83.79,0,0,0,0,2.42,0,0,0,0,19.34,0,0
 48-58,0,0,0,1.72,0,19.51,0,0.57,4.02,0,0,0,0,0,0,0.57,0,9.18,0,0.57,1.15,59.1,0,0.57,0.57,0,1.72,0,0,0,0,11.48,0,0
 60-70,0,0,0,1.96,0,17.67,0.98,0,4.91,0.98,0,0,0,0,0,0,0.98,23.56,0.98,0,1.96,68.71,0,0,0.98,0,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,1.96,0,22.58,0,0,4.91,0,0,0,0.98,0,0,0,0,19.63,0,0,0.98,56.94,0,0,2.94,0,0,0,0,0,0,6.87,0,0.98
 84-94,0,0,0,2.12,0,11.68,1.06,0,4.25,1.06,0,0,0,2.12,1.06,1.06,0,4.25,0,0,1.06,30.8,1.06,0,1.06,0,1.06,0,0,0,0,2.12,2.12,0
 96-106,0,0,0,5.46,0,5.46,0,0,2.19,1.09,0,0,2.19,0,0,0,0,12.02,0,0,0,22.95,0,0,0,0,1.09,0,0,0,0,2.19,3.28,0
108-118,0,0,0,2.3,1.53,4.6,0,0,3.06,0,0,0,0.77,0,0,0,0,9.96,0,0,0.77,24.51,0,0,1.53,0,0.77,0,0,0,0,2.3,0,0.77
120,0,0,0,3.92,1.96,15.68,1.96,0,11.76,0,0,0,0,0,0,0,0,7.84,0,1.96,0,43.12,0,0,0,0,0,0,0,0,0,1.96,0,0
