stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,2,0,1,2,1,4,15,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,13.13,0,0,0,6.57,0,0,0,0,0,0,0,0,0,8.21,0,0,5.75,108.35,0,2.46,0,0,0,3.28,0,0,1.64,28.73,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,31.42,0.81,0,0.81,8.06,0,0,0,0,0,0,0,0,0,17.72,0.81,0,3.22,113.6,1.61,1.61,0.81,0,0,4.03,0,0.81,0,21.75,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,34.43,0,0,0,12.62,0.57,0,0.57,0,0,0,0,0,0.57,21.8,0.57,1.15,1.15,110.74,0,0,0,0,0,1.72,0,0,0,22.38,0,0,1.72,0,1.15
 60-70,0,0,1.96,0,1.96,0,0,76.56,0,0.98,0,19.63,0,0,0.98,0.98,0,0,0,0,0,21.59,0,0,3.93,194.34,0.98,0.98,0,0,0,4.91,0,0.98,0,24.54,0,0.98,1.96,0.98,0
 72-82,0,0,0.98,0,2.94,1.96,0,44.17,0.98,0,0.98,15.71,0,0,0.98,0,0.98,0,0.98,0.98,0.98,33.38,0.98,0.98,5.89,93.26,0,0.98,0,0,0,3.93,0,0,0,12.76,0.98,0,2.94,0.98,0
 84-94,0,0,0,0,5.31,0,0,42.48,0,1.06,0,14.87,1.06,0,0,2.12,0,1.06,0,0,1.06,32.92,0,1.06,0,62.66,2.12,0,0,0,1.06,13.81,0,0,0,5.31,0,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,8.74,2.19,0,30.6,0,0,2.19,15.3,0,0,0,3.28,1.09,1.09,1.09,0,0,27.32,0,0,1.09,60.11,0,1.09,3.28,0,0,3.28,0,1.09,0,2.19,1.09,0,3.28,1.09,1.09
108-118,0,0,0,0,13.02,0,0.77,25.28,0,0,0,11.49,2.3,0,0.77,1.53,0,0,0,0,0,22.98,0,1.53,2.3,59.75,0.77,1.53,2.3,0,0,2.3,0,0,0,0,0.77,0,2.3,0.77,2.3
120,0,0,0,0,5.88,0,0,19.6,3.92,3.92,1.96,3.92,1.96,0,0,0,0,0,0,0,0,9.8,0,0,1.96,47.03,7.84,1.96,1.96,0,0,7.84,0,0,0,0,1.96,0,0,0,0
