stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,3.15,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,2.87,0,1.72,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,2.94,0,0.98,0,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0.98,3.93,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,2.12,0,0,0,0,0,0,1.06,0,0,4.25,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,4.37,0,1.09,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,1.53,0.77,0,0,0.77,0.77,0,0.77,1.53,0.77,0.77,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,3.92,5.88,0,0,0,0,0,0,3.92,1.96,1.96,0,3.92,0,0,1.96,0
