stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,21,11,0,0,0,0,1,1,0,2,3,0,0,0,0,0
 24-34,0,0,0,2.46,1.64,1.64,0,0.82,1.64,0,0,0,9.03,0,0,0,0,0,0,105.89,0.82,34.48,17.24,0,2.46,0,0,0,0,0,0,3.28,0,0,1.64,0,0.82
 36-46,0,0.81,0,0,0,0.81,3.22,1.61,4.03,0.81,0,0,13.7,0,0,0,1.61,0,0.81,174.02,8.06,29,12.89,0,0,0,0,0.81,1.61,0,0,4.03,0,0,0,0,2.42
 48-58,0,0.57,0,0.57,0,2.87,5.16,0.57,4.59,3.44,0,0,4.59,0,0,0,0.57,0,0,149.19,6.31,20.08,20.08,0.57,0.57,0,2.3,0,0,0,0,3.44,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,0,10.8,1.96,1.96,12.76,28.46,0.98,0,6.87,0,0,0,0.98,0,0,201.21,10.8,13.74,42.21,0,0,0,0.98,0,0,0.98,0,1.96,0,5.89,1.96,4.91,0
 72-82,0,1.96,0,1.96,0,21.6,0,1.96,13.74,27.49,0.98,0,5.89,0.98,0,0.98,0,0.98,0,324.93,9.82,13.74,73.62,0,0,0,2.94,1.96,0,0,0,0.98,0.98,6.87,0.98,13.74,1.96
 84-94,0,1.06,0,4.25,0,22.3,1.06,3.19,14.87,11.68,1.06,0,6.37,2.12,0,3.19,1.06,1.06,2.12,207.1,28.68,10.62,27.61,0,0,0,0,5.31,0,1.06,0,0,0,6.37,1.06,15.93,1.06
 96-106,0,1.09,0,6.56,0,12.02,3.28,0,17.49,19.67,1.09,0,5.46,0,0,0,1.09,1.09,0,250.26,18.58,7.65,59.01,0,0,0,5.46,1.09,0,2.19,0,2.19,1.09,3.28,1.09,15.3,0
108-118,0,0.77,0,6.13,0,16.85,5.36,0,17.62,15.32,1.53,0,3.83,0.77,1.53,1.53,0,0.77,0.77,180.77,16.09,13.79,39.83,0,0.77,0,0.77,3.83,0,0.77,0,0,0,3.06,3.06,16.09,0
120,0,0,0,0,0,3.92,1.96,1.96,19.6,5.88,1.96,0,3.92,0,0,0,1.96,0,0,156.78,9.8,15.68,29.4,0,1.96,0,1.96,1.96,0,0,0,1.96,0,5.88,1.96,9.8,0
