stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,1,34,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,15.6,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,12.09,0,0,0,0.81,0,0,8.86,0,0,0
 48-58,0,0,0.57,0,0,4.02,1.15,0.57,0.57,0,0,0.57,0,0.57,0,0,9.18,0,0,0,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,0,0,3.93,0,0,0,0.98,0,0.98,0,1.96,0,0,12.76,0,0,0,0,0.98,0,3.93,0.98,0.98,0
 72-82,0,0,0.98,0,0,10.8,0,0,2.94,0,0,0.98,0,2.94,0.98,0,13.74,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,0,5.31,0,0,3.19,0,0,5.31,0,0,0,0,3.19,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,1.09,1.09,1.09,0,7.65,0,0,1.09,0,0,2.19,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,3.06,0,0,1.53,0,0,9.19,0.77,2.3,0,0,6.89,0,0,0,0,0,0,0.77,2.3,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,13.72,0,0,3.92,1.96,9.8,0,0,0,0,0,0,0,0,0,0
