stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0,0,0,0,6.57,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.44,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,1.72,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,4.91,6.87,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,10.8,5.89,66.75,55.95,1.96,3.93,0,9.82,1.96,0,0,0,1.96,0.98,0,0.98,0.98,37.3,0.98,0.98,6.87,116.82,0.98,2.94,1.96,0,8.83,0,0,0,0,0,1.96,0.98,2.94,4.91,0.98,0.98
 84-94,0,0,1.06,0,8.5,8.5,145.5,26.55,0,2.12,0,9.56,6.37,1.06,1.06,3.19,1.06,0,0,1.06,1.06,28.68,1.06,0,2.12,82.84,0,0,0,1.06,10.62,0,0,0,0,0,5.31,3.19,0,3.19,1.06,0
 96-106,1.09,0,5.46,0,119.12,80.87,314.74,299.44,7.65,27.32,15.3,113.66,42.62,0,10.93,43.71,13.11,6.56,12.02,46.99,1.09,266.65,14.21,15.3,31.69,655.71,7.65,26.23,25.14,8.74,189.06,1.09,0,2.19,1.09,0,18.58,9.84,14.21,57.92,14.21,13.11
108-118,0,0,4.6,0.77,172.34,76.6,649.54,543.07,11.49,37.53,19.92,183.07,53.62,0,7.66,55.15,22.98,22.21,10.72,48.26,11.49,459.58,8.43,14.55,62.04,1204.09,17.62,16.85,36.77,10.72,262.73,0,0,3.83,6.89,0,25.28,13.79,9.96,39.83,18.38,47.49
120,0,0,3.92,0,129.35,66.63,295.93,297.89,9.8,15.68,15.68,133.27,21.56,0,11.76,60.75,7.84,5.88,11.76,33.32,5.88,311.61,5.88,13.72,39.2,893.66,15.68,19.6,13.72,13.72,129.35,0,0,3.92,1.96,0,15.68,7.84,17.64,31.36,17.64,17.64
