stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,1,0,1,0,1,23,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,3.28,0,1.64,0,0,0,0,0.82,10.67,0,5.75,0,0,0.82,0,0,10.67,0,0,2.46,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0.81,8.86,0,3.22,0,0,0,0,0,6.45,0,0,0.81,0,0,0
 48-58,0,0.57,0,9.18,0,0,0.57,0,0.57,0,1.15,0,2.3,0,1.72,0,0,0,22.38,0.57,5.74,0,0,0,0,0,5.74,0,0,1.72,0,0,0
 60-70,0,1.96,0,8.83,0,0,1.96,0,0,0,0,0,9.82,0,0.98,0,0,0,41.22,0,8.83,0,0,0.98,0,0,11.78,0,0,0,0,0.98,0
 72-82,0,0.98,0,11.78,0,0,0,0,0,0,5.89,0,21.6,0,1.96,0,0.98,0,42.21,0,21.6,0,0,0.98,0,0,41.23,0.98,0,0,0,0,0
 84-94,0,3.19,0,7.43,0,1.06,1.06,1.06,0,0,8.5,0,40.36,0,1.06,0,0,0,18.05,0,23.36,0,1.06,1.06,0,0,96.65,0,0,0,1.06,1.06,0
 96-106,0,3.28,0,6.56,1.09,1.09,0,1.09,0,1.09,24.04,0,49.18,1.09,4.37,1.09,1.09,0,24.04,0,32.79,0,0,1.09,0,0,111.47,0,0,0,0,2.19,0
108-118,0.77,2.3,0,3.06,0,0,1.53,0,0,0.77,16.09,0.77,39.06,0.77,0.77,0.77,0.77,0.77,16.85,0,19.92,0,0,0.77,0.77,0,95.75,0,0,0,0,0.77,1.53
120,0,5.88,1.96,5.88,1.96,0,0,0,0,0,13.72,0,17.64,0,0,0,0,0,25.48,0,19.6,0,0,0,0,0,54.87,0,0,0,0,0,0
