stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,64,3,0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,10,0,0,6,76,6,2,5,3,0,60,0,13,0,114,162,38,0,0,0,0,0
 24-34,0,1.64,50.07,0,0,4.93,0.82,2.46,0.82,18.06,0.82,0.82,0.82,0,8.21,0,0.82,0.82,2.46,41.04,0.82,0,20.52,329.16,4.1,26.27,4.93,0,0,41.04,0,0,0.82,21.34,40.22,95.22,0,0,0.82,0,0
 36-46,1.61,0,15.31,0.81,0,31.42,1.61,4.83,2.42,20.14,0,0,1.61,0,0.81,0,0,0.81,4.83,62.04,0,0.81,24.17,1026.42,4.83,32.23,2.42,0,0,13.7,0,0,1.61,12.89,0,182.08,0,0.81,2.42,0,0.81
 48-58,0,0,14.92,0.57,0,169.27,5.16,8.61,1.72,65.99,0.57,0.57,0,0,0.57,0,1.15,0,12.05,116.48,0.57,1.72,26.97,1256.63,4.02,17.21,1.15,0,0,4.59,0,0,0,10.9,0,203.7,0,0.57,1.72,0.57,14.35
 60-70,0.98,0,30.43,0,0,647.8,6.87,8.83,0.98,213.97,0,0,1.96,0,0,5.89,0.98,0,12.76,273.84,1.96,0,22.58,1965.99,2.94,16.69,7.85,0,0,5.89,0,0,2.94,6.87,0,234.58,0,0.98,3.93,0.98,22.58
 72-82,0,0,39.27,0.98,0,657.71,4.91,10.8,5.89,423.1,1.96,0,4.91,1.96,0.98,6.87,8.83,0.98,6.87,505.56,3.93,5.89,32.39,1423.41,0.98,33.38,12.76,0.98,1.96,5.89,0,0,0.98,6.87,0,130.56,0.98,9.82,3.93,6.87,10.8
 84-94,4.25,0,73.28,3.19,0,457.74,11.68,23.36,2.12,281.44,0,0,4.25,4.25,3.19,7.43,7.43,0,21.24,405.7,0,13.81,37.17,652.09,0,14.87,11.68,0,0,11.68,0,0,0,9.56,0,73.28,2.12,6.37,1.06,7.43,27.61
 96-106,1.09,0,51.36,3.28,1.09,365.01,9.84,6.56,5.46,286.33,0,0,4.37,3.28,3.28,5.46,15.3,0,19.67,284.14,0,6.56,29.51,563.91,1.09,33.88,24.04,0,0,10.93,0,0,0,8.74,0,33.88,1.09,2.19,4.37,4.37,20.76
108-118,0.77,0,72,0.77,0.77,274.98,8.43,26.81,1.53,225.96,3.83,0,0.77,2.3,2.3,9.96,12.26,2.3,21.45,166.98,1.53,3.06,36.77,634.98,0.77,16.85,22.21,0,0,6.13,0,0,0.77,7.66,0,18.38,2.3,3.83,3.06,2.3,18.38
120,0,0,64.67,3.92,1.96,160.7,13.72,19.6,1.96,148.94,1.96,0,0,3.92,0,11.76,5.88,0,9.8,150.9,0,1.96,62.71,536.98,0,19.6,23.52,0,1.96,3.92,1.96,1.96,0,3.92,0,31.36,1.96,5.88,1.96,3.92,19.6
