stage,blastomeres,eye,fin_mesenchyme,hatching_gland,iridophores,mesenchyme,muscle,neural,spinal_cord,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82
 48-58,0,0,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0
