stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,7.39,0,0,1.64
 36-46,0,0,1.61,0,0,0,0,0.81,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0.57,0,2.3,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,2.94,0,0,0
 72-82,0,0,1.96,0,0,0,0,2.94,0,0,1.96,0,0,3.93,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,1.06,0,0,1.06,1.06,0,10.62,0,0,0
 96-106,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0,0,17.49,0,0,0
108-118,0,0.77,1.53,0,0.77,0,0,0,0,0,1.53,0.77,0.77,10.72,0,0,0
120,3.92,1.96,0,0,0,0,1.96,3.92,0,1.96,0,0,0,9.8,0,0,0
