stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,0,1,1,1,0,32,0,0,0,0,0
 24-34,0,0,3.28,0.82,1.64,0.82,0,9.03,0,0,1.64,2.46,0.82,0.82,0,0,0,0,0,0,2.46,0,0,1.64,262.67,0.82,18.88,0,0,0,0,0,0,0,2.46,0.82,56.64,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,0,18.53,0,0,0.81,2.42,0,1.61,0,0,0,0,0,0,4.83,0,0,3.22,680.79,0,17.72,0.81,0,0,0.81,0,0,0,0,0,102.32,0,0,2.42,0,0.81
 48-58,0,0,1.15,0,1.72,0.57,0,153.21,1.72,0,1.15,12.05,0.57,1.15,0,0,0.57,0,1.15,1.15,18.94,0,1.72,0.57,1013.91,0,10.9,1.15,0,0,2.3,0,0,1.15,1.15,0,140.58,0,0,2.87,0,0.57
 60-70,0,0,1.96,0,0.98,0,0,412.24,2.94,0,1.96,21.59,0,0.98,0,0,0,0,0,0,12.76,0.98,0,2.94,1684.29,0,8.83,0,0,0,2.94,0,0,0.98,1.96,0,153.12,0,1.96,1.96,0,2.94
 72-82,0,0,7.85,0,9.82,1.96,0,455.49,1.96,0,3.93,32.39,2.94,1.96,1.96,0,1.96,0.98,0,1.96,48.1,0,5.89,3.93,1398.87,0.98,14.72,7.85,0,0.98,3.93,0,0,0,0,0,99.15,0.98,1.96,7.85,2.94,2.94
 84-94,0,0,2.12,1.06,15.93,2.12,1.06,278.25,0,1.06,3.19,32.92,2.12,0,2.12,1.06,4.25,1.06,1.06,0,21.24,0,3.19,3.19,617.04,1.06,8.5,3.19,0,0,5.31,0,0,0,1.06,0,50.98,2.12,0,7.43,6.37,0
 96-106,0,0,5.46,0,5.46,4.37,0,201.08,4.37,0,2.19,26.23,1.09,1.09,1.09,1.09,3.28,0,1.09,0,26.23,1.09,6.56,2.19,475.39,0,24.04,6.56,0,0,3.28,0,0,2.19,0,0,25.14,0,1.09,7.65,1.09,2.19
108-118,0,0,0.77,0.77,9.96,1.53,2.3,142.47,0.77,0,0.77,20.68,0.77,0.77,1.53,0,5.36,0,0,0,13.79,0,1.53,0.77,548.43,1.53,6.13,3.83,0,0,2.3,0,0,1.53,1.53,0,19.92,0,0.77,4.6,1.53,0
120,0,0,1.96,0,9.8,3.92,0,152.86,1.96,0,1.96,21.56,0,0,1.96,0,0,0,0,1.96,19.6,0,0,0,715.32,1.96,11.76,1.96,0,0,0,0,0,0,0,0,41.16,0,1.96,5.88,5.88,1.96
