stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,72.38,3.15,0,0,37.76,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,1,5,0,1,0,0,7,0,1,0,0,5,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.75,0,0,0,0,6.57,0,0.82,0,0,1.64,0,0,2.46,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,19.34,0,1.61,0,0,4.03,0,0.81,0.81,0,0,0,0,0.81,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,16.07,0,0,0,0,2.87,0.57,0.57,0.57,0,0.57,0,0,0,0,1.15,0,1.72,0.57
 60-70,0,0,0,0,0,0,0,0,18.65,0,0,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,1.96,0,0,23.56,0,1.96,0,0,3.93,0.98,1.96,0,0,0,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,2.12,0,0,1.06,0,39.3,0,0,1.06,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,41.53,1.09,1.09,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0,0,0.77,0.77,32.94,0.77,0.77,0.77,0,3.06,0,2.3,0,0,0.77,0,0,0,0,0,0,1.53,0
120,0,0,0,1.96,0,0,0,0,31.36,3.92,0,0,0,1.96,0,3.92,3.92,0,0,0,0,1.96,0,1.96,0,1.96,0
