stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,slow.muscle,spinal.cord
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,0,92.76,0,0,0,4.93
 36-46,0,0,0,0.81,0,0,0,0,2.42,0,71.7,1.61,0,0,2.42
 48-58,0,0,0,4.02,0,1.15,3.44,0,1.72,0,33.85,0,0,0.57,1.15
 60-70,0,0,0,0,0.98,0,0,0,1.96,0,28.46,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,29.45,0,0,0,0.98
 84-94,0,0,2.12,4.25,0,0,0,0,1.06,0,4.25,0,0,0,0
 96-106,0,0,0,3.28,0,0,0,0,0,1.09,13.11,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,16.85,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,11.76,0,0,0,0
