stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
 24-34,0,1.64,2.46,0,0,0,0,0,0.82,15.6,0,0,2.46,0.82,0,0,0,0.82,0,0
 36-46,0,2.42,1.61,0,0,0.81,0,0,0,12.09,0,1.61,1.61,0.81,0.81,0,0.81,2.42,0,0
 48-58,0,0.57,1.15,0.57,0,1.15,0,0,0,16.64,0,0,0.57,0.57,0,0,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,0.98,0.98,0,0,16.69,0,0.98,1.96,0,0,0.98,0,0.98,0.98,0.98
 72-82,0,0,0.98,0.98,0,6.87,0,0,0,27.49,0.98,0.98,0.98,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,0,0,0,11.68,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,16.39,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,13.79,0,1.53,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,9.8,0,1.96,0,0,0,0,0,1.96,0,0
