stage,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,1,1,0,0,0,3,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0.82,0.82,0
 36-46,0.81,0,0,0,0,0,0,0,0,7.25,0,0.81,0,0.81,0,0
 48-58,1.15,0,0,0.57,0,0,0,0.57,0,10.33,0,0,0,2.87,0.57,0
 60-70,2.94,0,0,0,0,0,0.98,1.96,0,11.78,0,0,0,2.94,0,0
 72-82,1.96,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0.98,0,0.98
 84-94,2.12,0,0,1.06,0,0,0,0,0,4.25,0,0,0,0,0,0
 96-106,5.46,0,0,0,0,0,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0.77,0.77,0,0,0,0,0,0.77,0,4.6,0,0,0,0,0.77,0
120,5.88,0,1.96,0,0,0,1.96,1.96,1.96,5.88,0,0,0,0,1.96,0
