stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,1,8,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,111.64,0,2.46,0,0,0,0,0,0,27.91,0.82,0,2.46
 36-46,0,0,0,3.22,0,3.22,0,0,0,0,0,0,0.81,0,0,215.92,0,2.42,0,0,0,0.81,0,0,24.17,0,0,4.03
 48-58,0,0.57,0,8.03,0.57,2.87,0,0,0.57,0,0,0.57,5.74,0,0.57,262.8,0,1.72,0.57,0,0,0,0,0,10.9,0,0,4.02
 60-70,0,0.98,0,29.45,0,6.87,0,0,0.98,0,0.98,0,10.8,0.98,0,423.04,0,0,0,0,0,1.96,0,0,9.82,0,0,1.96
 72-82,0.98,2.94,0,46.14,0,19.63,0.98,0,0,0,0,0,13.74,0.98,0,676.37,0,0.98,0.98,0,0,1.96,0,0,15.71,2.94,0,6.87
 84-94,1.06,2.12,0,47.79,1.06,6.37,0,0,2.12,0,0,0,12.74,0,1.06,315.43,0,1.06,1.06,0,0,0,0,0,7.43,0,1.06,2.12
 96-106,0,0,2.19,37.16,2.19,9.84,0,0,0,1.09,0,0,9.84,0,0,309.28,0,3.28,2.19,0,0,1.09,0,0,3.28,1.09,0,2.19
108-118,0,4.6,0,22.98,0.77,5.36,0.77,0,0,0,0,0.77,5.36,0,0,329.36,0,1.53,0.77,0,0.77,0,0,0,3.83,0.77,0,0.77
120,0,3.92,0,21.56,0,1.96,3.92,0,0,0,0,0,7.84,0,0,290.05,3.92,0,0,0,0,0,0,0,1.96,1.96,0,0
