stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1014.7,16366.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.14,0,0,0,0,0,0,0,0,0,0
  5-6,1526.28,19008,0,12.26,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,514.89,30.65,0,0,153.24,0,582.32,0,0,0,0,0,0,0,0,0,0
  7-9,207.67,323.33,0,446.88,0,5.26,0,948.97,0,0,0,0,0,394.31,0,0,0,0,0,0,0,0,0,0,0,9368.73,226.07,0,0,3375.27,0,28.92,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,173.08,0,236.02,0,31.47,0,579.04,0,0,0,0,0,75.53,0,0,0,0,0,0,0,0,0,0,0,4648.07,91.26,0,0,1756.01,0,12.59,9.44,9.44,204.55,0,6.29,3.15,0,0,0,0
 14-21,1,0,0,26,229,117,0,213,0,0,0,34,10,1,1,1,5,0,0,1,1,111,0,0,93,2313,32,5,21,75,0,15,1,219,8,2,152,578,0,0,6,0
 24-34,0,0,0,4.1,54.18,42.68,0,482.66,0,0,2.46,31.19,0,0,2.46,4.1,3.28,1.64,2.46,4.1,0.82,204.39,0,0.82,63.21,1972.52,2.46,6.57,16.42,0,0,18.06,0,0,0.82,0,13.13,334.09,0,0,20.52,1.64
 36-46,0,0,0,1.61,11.28,7.25,0,594.58,0,0.81,1.61,26.59,0,0,0,0.81,0.81,0,0,2.42,0.81,114.41,0,2.42,24.98,965.19,2.42,3.22,2.42,0,0,10.47,0,0,0,0,0,176.44,0,0,11.28,0.81
 48-58,0,0,0,0,14.35,1.72,0,585.28,0,0,2.87,49.92,4.02,0,0,3.44,1.72,1.72,3.44,2.87,0,135.42,0,9.18,26.4,458.47,1.15,2.87,4.02,0,0.57,4.59,0,0,0,0,0,67.14,0,0,7.46,0
 60-70,0,0,0,0,14.72,1.96,0,283.66,0,1.96,1.96,46.13,3.93,0,0,4.91,0.98,0,0,2.94,0,72.63,0,5.89,8.83,218.88,0.98,2.94,0.98,0,0.98,2.94,0,0,0,0,0,12.76,0,0.98,2.94,0.98
 72-82,0,0,1.96,0,7.85,2.94,1.96,139.4,0,0.98,3.93,48.1,6.87,0,0.98,2.94,0,0,0,1.96,0,73.62,0,4.91,20.61,179.64,0.98,0.98,0.98,0,1.96,2.94,0,0,0,0.98,0,5.89,0,1.96,8.83,0
 84-94,1.06,0,0,0,12.74,16.99,0,118.95,0,0,4.25,21.24,4.25,0,0,6.37,4.25,0,1.06,0,1.06,63.72,0,7.43,15.93,124.26,1.06,3.19,1.06,0,0,3.19,0,0,1.06,0,0,2.12,0,0,8.5,0
 96-106,0,0,0,0,6.56,17.49,0,71.04,0,0,2.19,19.67,3.28,0,2.19,8.74,4.37,2.19,2.19,0,0,25.14,0,2.19,5.46,104.91,0,0,5.46,0,0,1.09,0,0,0,0,0,3.28,0,1.09,3.28,2.19
108-118,0,0,0,0,11.49,16.85,0,71.23,1.53,0.77,3.06,22.98,3.06,0,0.77,3.83,2.3,1.53,0,2.3,0,28.34,0.77,0.77,11.49,108.77,0,0.77,0,0,0,1.53,0,0,0,0,0,0,2.3,0,7.66,0.77
120,0,0,0,0,13.72,33.32,0,66.63,0,0,1.96,33.32,3.92,0,0,5.88,0,1.96,3.92,1.96,0,25.48,0,0,15.68,92.11,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,0
