stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,78.86,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,40.91,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,30,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,76,1,6,0,0,0,0,0,0,27,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,720.71,0,36.12,1.64,0,0,1.64,1.64,0,233.12,0,0,0,0,0
 36-46,0,0,0.81,1.61,0,0,13.7,0,0,0,12.09,0,0,0.81,0,0.81,0,0.81,0,0,5.64,0,0,0,1462.29,0,37.06,2.42,0,0,2.42,1.61,1.61,448.76,0,0,0.81,0,0
 48-58,0,0,0,4.02,0,0,88.94,0.57,0,0,33.85,0,0,0,1.15,0,0.57,1.15,0,0,16.07,0,0,4.59,1784.53,0,32.13,0,0,0,1.15,0.57,0,468.22,0,0,1.72,0,0
 60-70,0,0,0.98,3.93,0.98,0,160.97,0,0,0,28.46,0,0,0,0.98,0,0.98,0.98,0,0,10.8,0.98,0,0,2293.82,0,23.56,1.96,0,0,1.96,0,0.98,375.92,0.98,0,0,0,0
 72-82,0,0,3.93,10.8,0,0,211.06,0,0.98,0.98,59.88,0.98,0.98,0.98,0,0,0.98,2.94,0,1.96,31.41,5.89,0.98,1.96,2155.73,0,43.19,3.93,0,0.98,0,0.98,0,247.38,4.91,0,1.96,0.98,0.98
 84-94,0,0,1.06,18.05,0,0,208.16,0,0,0,66.91,1.06,0,0,1.06,0,1.06,3.19,0,0,24.43,6.37,2.12,3.19,1121.51,1.06,21.24,4.25,0,0,6.37,1.06,1.06,124.26,13.81,3.19,0,1.06,1.06
 96-106,0,0,1.09,9.84,2.19,0,145.35,1.09,0,0,78.68,4.37,0,0,0,1.09,0,1.09,0,0,36.06,2.19,1.09,2.19,977,1.09,54.64,9.84,0,1.09,3.28,0,0,59.01,12.02,0,0,1.09,0
108-118,0,0,2.3,11.49,1.53,0.77,91.92,0,0.77,0,51.32,8.43,0,0,0.77,3.83,2.3,3.83,1.53,0.77,23.74,3.06,0.77,1.53,951.33,0,21.45,14.55,0,0,1.53,0,0,38.3,14.55,0,1.53,0,0.77
120,0,0,0,13.72,0,0,78.39,1.96,0,0,47.03,3.92,0,0,0,0,0,1.96,0,0,21.56,1.96,1.96,3.92,1052.4,1.96,39.2,17.64,0,0,5.88,0,0,66.63,3.92,0,0,0,0
