stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,5.26,0,5.26,0,0,13.14,0,2.63,0,0,0,0,78.86,10.51,21.03,0,0,0,0,0
 10-12,0,15.73,9.44,0,3.15,6.29,0,6.29,0,0,0,0,116.44,0,47.2,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
