stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,7.89,0,0,42.06,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,333.85,13.14,0,0,102.52,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,201.41,6.29,0,0,113.29,0,0,3.15,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,11,1,8,0,0,1,0,0,0,0,0,0,0,0,5,0,5,69,3,0,2,1,0,0,8,0,0,13,19,0,0,0,0
 24-34,0,0,0,0.82,0.82,2.46,0,0.82,0.82,0,0,0,0,0,0,0.82,0,13.95,0,2.46,79.62,0,0,0,0,0.82,0,0,0,0,0,19.7,0,3.28,0,0
 36-46,0,0,0,2.42,0,13.7,0,0,3.22,0.81,0,0,0,0,0,0,0.81,4.83,0,1.61,46.73,0,0,0,0,0.81,0,0,0,0,0,12.89,0,1.61,0,0
 48-58,0,0,0,0.57,0,17.21,0.57,0.57,2.3,0,0,1.15,0,0,0,0,0,8.61,0.57,2.87,38.44,0,0,0.57,0,0.57,0,0,0,0,0,7.46,0,0.57,0,0
 60-70,0,0,0,0,0,19.63,0,0.98,4.91,0.98,0,0,0,0,0,0,0,9.82,0.98,0.98,34.35,0,0.98,0,0,1.96,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,0.98,0,20.61,0,0.98,1.96,0,0,0,0.98,0.98,0,0,0,9.82,0.98,1.96,18.65,0,0,0.98,0,0.98,0,0,0.98,0,0,3.93,0,1.96,1.96,0
 84-94,0,0,0,2.12,0,10.62,1.06,0,10.62,0,0,1.06,2.12,0,0,1.06,0,6.37,1.06,0,26.55,0,0,0,0,3.19,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,6.56,0,1.09,0,0,0,0,1.09,0,0,0,0,6.56,0,0,22.95,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,6.13,0.77,0,5.36,0,0,0,0,0,0.77,0,0,7.66,0,2.3,10.72,0,0,0,0,1.53,0,0,0.77,0.77,0,0,0.77,1.53,0.77,1.53
120,0,0,0,7.84,0,3.92,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,3.92,15.68,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
