stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,11,2,1,0,0,0,0,0,0,1,0,0,19,2,0,0,0,0,1,0,1,3,6,0,0,0,0
 24-34,1.64,0,2.46,0,0,0,0,0,0,2.46,0.82,1.64,20.52,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0.82,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,1.61,0,0.81,22.56,0,0.81,0,0,0,0,0,0,0,6.45,0,0,0.81,0
 48-58,0.57,0,3.44,0,0,0.57,0.57,0,0,0.57,0,0.57,15.49,0,0,0,0,1.15,0,0,0,0,1.15,0,0,0.57,0.57
 60-70,0,0,1.96,0,0,0,0,0,0,0.98,0,0,14.72,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,12.76,0.98,0,4.91,0,1.96,0,8.83,0,0.98,28.47,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0.98,0
 84-94,0,0,8.5,0,1.06,1.06,0,0,0,0,0,0,7.43,0,0,1.06,0,1.06,0,1.06,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,1.09,0,1.09,4.37,0,1.09,0,0,1.09,0,0,1.09,0,0,1.09,0,1.09,0
108-118,0.77,0,0,0,0,1.53,0,0,0.77,0.77,0,0,6.13,0,0,0,0,0.77,0,0,1.53,0,0,1.53,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
