stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,0,4,0,0,0,2,1,0,0,1,0,0,0,4,0,0,2,37,1,0,0,1,0,0,9,1,0,12,11,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,3.28,0,0,2.46,0,0,0,0.82,0,0,0,0,5.75,0,0,1.64,37.76,0,1.64,0,0,0,0.82,0,0,0,2.46,20.52,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0.81,0,0.81,2.42,0,0,1.61,50.76,0,2.42,0,0,0,3.22,0,0,0,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,8.61,0,0,3.44,0,0,0.57,0,0.57,0.57,0.57,0,6.89,0,0.57,1.15,40.74,0,0.57,0,0,0,2.3,0,0,0,0,8.03,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,8.83,0,0,3.93,0,0,0,0,0,0,0,0,11.78,0,0,3.93,25.52,0,0,0,0,0,4.91,0,0,0,0,2.94,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,18.65,0.98,0,7.85,0,0,0,0,0,0,0,0,10.8,0,0,3.93,24.54,0,0,0.98,0,0,0,0,0.98,0,0,3.93,0,0.98,2.94,0,2.94
 84-94,0,0,1.06,0,4.25,1.06,16.99,2.12,1.06,8.5,1.06,0,0,2.12,1.06,1.06,0,1.06,9.56,0,0,2.12,23.36,0,2.12,1.06,0,0,16.99,0,0,0,0,4.25,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,5.46,0,7.65,0,0,4.37,0,0,0,0,1.09,2.19,1.09,0,12.02,0,0,2.19,17.49,0,2.19,2.19,0,1.09,4.37,0,0,0,0,3.28,1.09,0,3.28,0,0
108-118,0,0,0,0,3.06,0,11.49,0.77,0.77,4.6,0.77,0,0,0.77,0,3.06,0.77,0.77,12.26,2.3,0,3.06,35.23,0,0.77,0.77,0,0,11.49,0,0,0.77,0,0.77,0,0,0.77,0.77,0.77
120,0,0,0,0,3.92,0,5.88,0,0,1.96,0,0,0,0,0,0,1.96,0,7.84,0,0,0,21.56,0,1.96,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0
