stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,94.41,0,0,44.06,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,10,88,1,1,5,0,0,27,1,0,0,0,1,0,0,2,0,0,1,53,155,2,3,45,0,0,129,11,44,0,0,0,0,0
 24-34,0,0,0,17.24,45.97,0,3.28,5.75,0,0,8.21,0,0.82,0,0,0,0,0,1.64,0.82,0,0.82,152.68,6.57,20.52,12.31,0,0,0,0,0,88.65,0,0,0.82,0,0
 36-46,0,0,0,0,24.17,0,1.61,5.64,0,0.81,3.22,0,0,0,0,0,1.61,0.81,8.06,0.81,0,0,153.08,0.81,26.59,34.64,0,0,0,0,0,66.87,0,0,0,0,0
 48-58,0,0,0,0,27.54,0,9.75,4.59,0,2.3,0,0,0,0,0,0.57,0,0,9.75,0,0,0,157.8,0,17.21,26.97,0,0,0.57,0,0,32.71,0,0,0,0,0.57
 60-70,0,0,0.98,0,29.45,0,8.83,3.93,0.98,1.96,0,0,0,0,0,1.96,0,0,3.93,0,0.98,0,171.77,0.98,13.74,15.7,0,0,0,0,0,39.26,0,0,0,0,0
 72-82,0,0,0,0,40.25,1.96,38.28,0.98,0,7.85,0.98,0,0,0,0,0,0,0,8.83,0.98,1.96,0.98,248.36,0,27.49,46.14,0,0,0,0,0,29.45,0,1.96,1.96,0.98,0
 84-94,0,0,0,0,48.85,1.06,24.43,4.25,0,9.56,0,0,0,1.06,0,0,0,0,1.06,0,1.06,0,122.13,0,20.18,52.04,0,1.06,0,0,0,9.56,0,0,0,0,0
 96-106,0,0,0,0,71.04,1.09,18.58,14.21,1.09,1.09,1.09,0,0,4.37,1.09,0,0,0,4.37,0,0,1.09,108.19,1.09,29.51,61.2,0,0,3.28,0,0,9.84,0,0,5.46,3.28,0
108-118,0.77,0,0,0,52.09,0.77,16.85,16.85,0,6.13,3.83,0,0.77,3.83,0,0,0,0,6.89,0,2.3,0.77,156.26,0.77,21.45,43.66,0,0,0,0,0,5.36,0,1.53,0.77,1.53,0
120,1.96,0,0,0,45.08,0,9.8,11.76,0,7.84,0,0,3.92,1.96,0,1.96,0,0,5.88,1.96,0,1.96,127.39,1.96,17.64,25.48,0,0,0,0,0,7.84,1.96,0,1.96,0,0
