stage,axial,blastomeres,endocrine.pancreas,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,2.63,0,0,5.26,0,5.26,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,17.72,0.81,0,0.81,2.42
 48-58,0,0,0,0,0.57,0.57,0,0,0,13.77,0,0,0,0
 60-70,0,0,0,0,4.91,0.98,0,0,0.98,68.71,0,0,0,3.93
 72-82,0,0,0.98,0,3.93,0.98,0,0,0,48.1,0,0,0,0.98
 84-94,0,0,0,1.06,3.19,1.06,0,0,0,19.12,0,0,0,0
 96-106,0,0,0,0,7.65,2.19,0,0,0,10.93,1.09,0,0,0
108-118,0,0,0,0,2.3,1.53,0,0.77,0,21.45,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,15.68,0,0,0,0
