stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,22.95,0,0,0,0.57,0,7.46,0,0,0,0,0,0,0,0.57,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,206.12,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0,27.48,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0.98,1.96
 72-82,0,0,2.94,2.94,0,528.13,0,0,0.98,11.78,0.98,0.98,0,1.96,0.98,0.98,0.98,0.98,0,9.82,0.98,0,0,59.88,0.98,0,0.98,0,0,3.93,0.98,0,0,1.96,0,0,0.98,0.98,1.96
 84-94,0,0,7.43,0,0,451.37,1.06,1.06,0,2.12,3.19,1.06,1.06,0,1.06,2.12,0,0,0,8.5,0,0,1.06,30.8,1.06,0,2.12,0,0,4.25,0,0,0,2.12,1.06,0,2.12,0,1.06
 96-106,0,0,26.23,7.65,2.19,745.32,4.37,3.28,4.37,15.3,3.28,1.09,2.19,4.37,2.19,3.28,1.09,2.19,0,27.32,0,0,4.37,83.06,1.09,2.19,2.19,0,2.19,16.39,0,0,1.09,2.19,1.09,0,8.74,1.09,0
108-118,0,0,11.49,3.06,0.77,579.07,0.77,0.77,1.53,9.19,2.3,0,0.77,2.3,0.77,1.53,0,1.53,2.3,39.06,0,0,5.36,121.79,0,0,0.77,0,0,10.72,0,0,0,3.06,3.06,0,4.6,1.53,3.06
120,0,0,54.87,11.76,0,889.74,0,7.84,1.96,21.56,5.88,0,1.96,11.76,0,1.96,3.92,3.92,1.96,43.12,1.96,1.96,9.8,166.58,0,3.92,3.92,0,3.92,19.6,0,3.92,0,1.96,0,1.96,3.92,1.96,0
