stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,11,9,0,4,0,0,0,1,0,2,0,0,0,0,0,3,0,2,11,1,0,1,0,0,1,22,6,5,0,0,21,0,0
 24-34,0,0,0,0,1.64,3.28,0,3.28,0,0,1.64,0.82,0,6.57,0,0,0,3.28,0,1.64,0,1.64,13.95,0,0,0,0,1.64,0,39.4,0,4.1,0,0,116.56,0,0
 36-46,0,0,0,0,0,0.81,0,10.47,0.81,0,0,0.81,0,3.22,0,0,0,8.86,0,4.03,0,0.81,6.45,0,0,0,0,0,0,19.34,0,4.03,0,0,87.82,0.81,0
 48-58,0,0,0,1.15,0,0,0,7.46,0,0,0.57,2.87,0,2.3,0,0,0.57,17.79,0,1.15,0.57,0,13.2,0.57,0,0,0,0.57,0,10.33,0,1.15,0,0,87.22,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,8.83,0,0,0,14.72,0,2.94,1.96,0.98,1.96,27.48,0,3.93,0,0,10.8,0,1.96,0.98,0,0.98,0,11.78,0,0,0,0,71.65,0,0
 72-82,0,0,4.91,2.94,0.98,0,1.96,19.63,0,0,2.94,28.47,0.98,4.91,1.96,0,4.91,39.27,0,10.8,0,1.96,22.58,0,1.96,1.96,0,1.96,0,30.43,0,1.96,0.98,0,102.09,3.93,0
 84-94,0,0,8.5,9.56,1.06,0,1.06,21.24,0,0,2.12,48.85,0,2.12,6.37,0,3.19,91.34,1.06,5.31,0,0,9.56,0,1.06,0,0,5.31,0,61.6,0,1.06,1.06,1.06,101.96,2.12,0
 96-106,0,0,7.65,15.3,6.56,2.19,3.28,14.21,1.09,1.09,4.37,77.59,0,5.46,9.84,0,4.37,118.03,0,10.93,1.09,3.28,26.23,0,6.56,2.19,0,4.37,0,55.74,0,0,0,1.09,104.91,3.28,2.19
108-118,0,0,9.19,19.15,6.89,2.3,2.3,9.96,0.77,0,6.13,50.55,0,3.83,5.36,0.77,6.89,171.58,0,13.02,0,0,22.98,0,6.89,0.77,0,3.06,0,52.09,0,0,0,0.77,95.75,3.83,0.77
120,0,0,7.84,7.84,3.92,3.92,1.96,15.68,0,0,7.84,50.95,0,3.92,7.84,0,5.88,141.1,0,9.8,0,0,23.52,1.96,1.96,1.96,0,7.84,0,33.32,0,0,0,0,82.31,0,0
