stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,26.29,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,0,0,18.88,0,0,0,0,0
 14-21,0,0,1,5,0,1,0,0,0,1,0,0,4,0,1,6,0,0,0,0,1,2,5,0
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0.82,0,0,1.64,0,1.64,36.12,0,0.82,0,0,0,0,13.13,0
 36-46,0,0,0,1.61,0,6.45,0.81,0,0,3.22,0,0,3.22,1.61,2.42,41.09,0,0.81,0,0,0,0,8.06,0
 48-58,0,0,0,0,0,9.75,0.57,0,0,3.44,0,0,7.46,0,2.3,14.92,0,0.57,0,0,0,0,9.75,0
 60-70,0,0,0,0,0,7.85,0,0,0,8.83,0,0,9.82,0.98,0,16.69,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,0,8.83,0,0.98,11.78,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,4.25,0,1.06,0,0,0,1.06,11.68,1.06,0,6.37,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,1.09,0,2.19,0,0,0,3.28,0,0,4.37,0,1.09,2.19,1.09,1.09,0,0,0,0,2.19,0
108-118,0,0,0,0.77,0,1.53,0,0,0,1.53,0,0,3.06,0,0,4.6,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0
