stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1330.97,6905.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,1397.56,7925.62,24.52,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,717.17,98.07,0,0,288.09,0,398.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,139.32,120.92,672.95,0,0,352.25,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,2886.33,391.68,0,0,3254.35,0,52.57,39.43,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,100.7,434.28,0,12.59,462.6,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,3131.23,138.47,0,0,752.13,0,22.03,9.44,6.29,56.65,0,9.44,0,0,0,0,0,0
 14-21,0,0,12,280,10,23,0,0,0,6,7,3,3,0,1,0,1,0,1,39,0,0,35,539,333,1,25,131,0,1,0,88,4,81,36,136,0,0,7,0,2
 24-34,0,0,12.31,58.28,0,9.03,0.82,4.1,0.82,14.78,1.64,0,0.82,0.82,0.82,0,12.31,0,0,27.91,1.64,0,9.85,125.59,24.63,0,23.8,0,0,2.46,0,0,4.1,127.23,11.49,52.53,0,0,22.98,0,3.28
 36-46,0,0,0.81,15.31,0,5.64,0,4.03,0,8.86,0,0,2.42,0,0.81,0,10.47,1.61,0,29,0,0.81,6.45,38.67,4.03,0.81,12.89,0,0.81,0.81,0,0,4.83,52.37,0,20.95,0,0,7.25,0,1.61
 48-58,0,0,0,5.74,0,18.36,0,1.15,0,8.61,0.57,0,0,0,0,0,5.74,0,0,44.18,0,1.72,4.02,15.49,1.15,0,12.62,0,2.3,0,0,0,2.87,13.2,0,4.02,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,65.76,0,3.93,0,1.96,0,0,0.98,0.98,0,0,6.87,0,0,67.73,0,0,3.93,9.82,0.98,0,3.93,0,0,0,0,0,1.96,1.96,0,0.98,0,0.98,0.98,0,0.98
 72-82,0,0,0,0.98,0,51.05,0,0.98,1.96,2.94,0.98,0,0.98,0,0,0,9.82,0,0,62.83,0,1.96,0,7.85,0,0,7.85,0,0,0,0,0,3.93,2.94,0,2.94,0,0,2.94,0.98,0.98
 84-94,0,0,0,4.25,0,24.43,0,2.12,1.06,1.06,2.12,0,0,1.06,2.12,1.06,12.74,0,0,44.61,0,1.06,5.31,5.31,1.06,0,5.31,0,0,2.12,0,0,3.19,0,0,2.12,2.12,2.12,0,0,0
 96-106,0,0,0,4.37,0,24.04,1.09,3.28,0,0,0,0,1.09,1.09,0,0,14.21,0,0,42.62,0,0,0,6.56,0,0,5.46,0,0,1.09,0,0,3.28,2.19,0,0,1.09,0,0,0,0
108-118,0,0,0,2.3,0,19.92,0,2.3,0.77,2.3,1.53,0,0.77,0.77,0,0,6.89,0.77,0,39.83,0,0,0.77,3.83,0,0,6.13,0,0,0.77,0,0,0,0,0,0.77,0.77,1.53,0,0,0
120,0,0,0,1.96,0,11.76,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,13.72,0,1.96,0,3.92,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0
