stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,23.66,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14,6,5,0,0,4,1,0,1,0,0,0,0,0,0,8,0,0,9,100,0,1,2,1,0,0,5,1,2,16,26,0,0,1,0,0
 24-34,0,0,0.82,0.82,4.1,0,16.42,0,0,4.1,0,0,0,0,0,0,0.82,0,0,21.34,0,0,10.67,211.78,0.82,2.46,0.82,0,0,0,0,0,0,4.1,41.86,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0.81,44.31,0,0.81,7.25,0.81,0,0,0,0.81,0,0,0,0,28.2,0.81,0.81,4.03,272.32,1.61,2.42,0.81,0,0,1.61,0,0,0,0,66.06,0,0,3.22,0,0
 48-58,0,0,0,0,1.15,0.57,65.99,0,0.57,17.21,0,0,0.57,0,0,0.57,0,0,0,32.71,0,0.57,3.44,224.36,0,1.72,1.15,0,0.57,0.57,0,0,0,0,37.87,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,115.82,0,0,11.78,0,0,0,0,0,0,0.98,0,0,38.28,0,1.96,3.93,195.32,0,1.96,0.98,0,0,3.93,0,0,0,0,23.56,0,0,1.96,0,0.98
 72-82,0,0,0,0,5.89,0.98,51.05,0,0.98,12.76,0,0,0,1.96,0,0,0,0,0.98,43.19,0.98,1.96,3.93,97.18,0,1.96,2.94,0,0,0.98,0,0,0,0,10.8,0.98,0.98,0.98,1.96,1.96
 84-94,0,0,0,0,2.12,0,38.23,0,3.19,4.25,0,3.19,0,2.12,1.06,0,1.06,0,0,21.24,0,1.06,6.37,71.16,1.06,1.06,0,0,1.06,6.37,0,1.06,0,0,6.37,0,1.06,2.12,0,0
 96-106,0,0,0,0,4.37,2.19,26.23,0,3.28,5.46,2.19,0,0,2.19,0,0,0,1.09,0,20.76,1.09,2.19,3.28,52.46,0,0,2.19,0,1.09,4.37,0,0,0,0,5.46,1.09,1.09,4.37,1.09,0
108-118,0,0,0,0,4.6,0,25.28,1.53,0.77,6.89,0.77,0,0,3.83,0.77,0,0,0,0,23.74,0,0.77,4.6,47.49,0.77,0.77,1.53,0,0,3.06,0,0,0,0,1.53,0,0,3.83,0.77,0.77
120,0,0,0,0,5.88,1.96,19.6,0,5.88,1.96,0,0,0,0,0,0,1.96,1.96,0,19.6,0,0,7.84,27.44,1.96,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0,0,1.96,0
