stage,epidermis,erythrocytes,eye,glial,immune,ionocyte,liver,mesenchyme,neural,presomitic.mesoderm,spinal.cord
 10-12,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,1.64,5.75,0,0.82
 36-46,0,0,0,0,0,0,0,0,6.45,0,3.22
 48-58,0,0,1.72,0,0.57,0,0,0,6.31,0,0.57
 60-70,0.98,0,0.98,0,0,0,0,0,6.87,0,0
 72-82,0.98,0.98,0,0,0,0,0.98,0.98,0.98,0,0
 84-94,0,0,2.12,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,4.37,0,0,0,0,1.09,3.28,0,0
108-118,0,0,0,0,0,0.77,2.3,0,1.53,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
