stage,epidermis,eye,glial,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0.82,0,4.93,1.64,0,0,0,16.42,0.82,0,0,0.82,0.82
 36-46,0.81,0,0,3.22,0,0,0,0,26.59,0,0,0,0,0
 48-58,0,2.87,0,0,1.15,0,0,0,26.97,0,0.57,0,1.15,0
 60-70,0,3.93,0,0,0,0,0,0,21.59,0,0,0,0.98,0.98
 72-82,0.98,9.82,0,0,1.96,0,0,0,35.34,0,0,0,0,1.96
 84-94,0,2.12,1.06,0,1.06,0,0,0,13.81,0,0,0,0,3.19
 96-106,0,3.28,0,0,0,0,0,0,12.02,1.09,1.09,0,0,1.09
108-118,0.77,8.43,0,0.77,0,0.77,0.77,0,20.68,0,0,0.77,0,1.53
120,0,17.64,0,0,1.96,0,0,1.96,11.76,0,0,0,5.88,0
