stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,1.64,0,0,7.39,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0.81,0.81,0,9.67,0,0,0,0.81,0,0,2.42,0,0,0,0
 48-58,1.15,0.57,0.57,7.46,0,0.57,0,2.87,0,1.15,2.87,0,0,0,0
 60-70,1.96,0.98,0,8.83,0,0,0,17.67,0,0,4.91,0,0,0,0
 72-82,0.98,1.96,2.94,3.93,0.98,0.98,0,19.63,0.98,0,6.87,0,0,0.98,1.96
 84-94,1.06,1.06,3.19,7.43,0,0,0,26.55,0,0,1.06,0,0,0,2.12
 96-106,1.09,4.37,10.93,5.46,0,1.09,1.09,14.21,0,5.46,4.37,0,0,0,1.09
108-118,0,1.53,7.66,10.72,1.53,0,0,21.45,0,1.53,3.06,0,0,0,2.3
120,0,0,7.84,9.8,0,0,0,23.52,0,0,3.92,1.96,0,0,1.96
