stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,29.55,0.82,0.82,0,0,12.31,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,66.06,0,0,0,0,4.83,0
 48-58,0,0.57,13.77,0,0,0,0,0,0.57,0,0,67.14,0,0,0,0,9.18,0
 60-70,0,0,44.17,1.96,0,0.98,0.98,0,0,0,0,86.37,0.98,0.98,0,0,14.72,0
 72-82,0,0.98,58.9,0,0,0,0,0,0.98,0,0,71.66,0,0,0,0,5.89,0.98
 84-94,0,0,24.43,2.12,1.06,0,0,0,1.06,0,0,38.23,1.06,1.06,0,0,5.31,0
 96-106,0,0,30.6,2.19,0,0,0,0,2.19,0,1.09,30.6,0,10.93,0,1.09,0,0
108-118,0,0.77,17.62,0,0,0,0,0.77,0.77,0,0,26.04,0,4.6,0,0,0,0
120,0,0,13.72,1.96,0,0,0,0,0,1.96,0,35.28,0,3.92,0,0,1.96,0
