stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,13.95,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,4.03,0,0.81,0,0,0,0,0,0.81,1.61,0.81,3.22,0,47.53,0,0.81,0,0,0.81,0.81,28.2,0,0,0,0,0
 48-58,0,0.57,0.57,10.33,0,8.03,0,0,0,0,0,0,4.02,0,12.62,0,81.48,0.57,0,0.57,0,0,0,68.28,0,1.72,0,0,0
 60-70,0,0.98,0,35.33,0,4.91,0,0,0,0,0,0,5.89,0,14.72,0,180.6,0,0,0,0,0,0.98,68.71,0,3.93,0,0.98,0
 72-82,0,0.98,0,64.79,0.98,9.82,0,0.98,0,0,0,0.98,3.93,0,17.67,0.98,304.32,0,0,0,0,0,0,53.99,0,6.87,0,9.82,1.96
 84-94,0,2.12,0,45.67,0,5.31,0,1.06,0,0,0,0,8.5,1.06,22.3,1.06,143.38,0,0,0,0,0,0,32.92,0,5.31,1.06,10.62,2.12
 96-106,0,1.09,1.09,39.34,0,12.02,1.09,0,0,1.09,0,0,3.28,0,4.37,0,125.68,0,0,0,1.09,0,0,14.21,0,2.19,1.09,6.56,1.09
108-118,0,3.06,0.77,34.47,0,5.36,0,0.77,0.77,0,0.77,0,0.77,0,2.3,0,160.09,0,0.77,0,0.77,0,0,6.13,0.77,0,0,1.53,4.6
120,0,7.84,1.96,43.12,1.96,3.92,0,0,0,0,0,0,0,0,0,1.96,117.59,0,0,0,0,0,0,15.68,0,0,0,3.92,1.96
