stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,12.31,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,10.47,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,4.59,0.57,1.15,0,0,0.57,0,1.72,0,0,4.02,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,3.93,0,0,0.98,1.96,0,0,8.83,0,0,0,0,1.96,0,0,0
 72-82,0,2.94,0,0,3.93,3.93,0,0,39.27,0,0,0,2.94,0,0,5.89,0,0,0.98,0,0,0,0,0
 84-94,0,3.19,0,0,2.12,3.19,0,0,47.79,0,0,0,2.12,0,0,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,2.19,9.84,0,0,186.88,0,0,0,7.65,0,0,33.88,0,0,1.09,1.09,0,1.09,2.19,0
108-118,0,1.53,0,1.53,1.53,2.3,0,1.53,340.09,0.77,0,6.89,3.06,0,1.53,29.87,0.77,0,0.77,0,0,0,1.53,0.77
120,0,3.92,0,0,1.96,9.8,0,0,278.29,0,0,3.92,7.84,0,0,29.4,0,0,0,0,0,0,1.96,0
