stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,3,0,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0.82,0,1.64,0,0,0.82,0,0,0,0,0,1.64,0,0,4.1,20.52,0.82,0,0.82,0,0,2.46,0,0,2.46,3.28,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,3.22,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,13.7,0,0,0,0,0,4.03,0,0,0,1.61,0,0,0,0,1.61
 48-58,0,0,0.57,0,6.89,0,0,1.15,2.87,0,0,0.57,0.57,0,0,0,0,4.02,0,0,1.72,6.89,0,0,0,0,0,1.72,0,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,1.96,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,3.93,0.98,4.91,0,0,0.98,9.82,2.94,0,0.98,0,0,0,0,0.98,16.69,0,0,0,14.72,0,0,0,0,0,0.98,0,0,0,0.98,0,0,2.94,1.96,0.98
 84-94,0,3.19,2.12,1.06,6.37,0,0,0,7.43,5.31,0,0,1.06,0,0,1.06,0,6.37,1.06,0,0,4.25,0,0,0,0,2.12,4.25,0,0,0,1.06,1.06,0,0,1.06,2.12
 96-106,0,1.09,3.28,1.09,4.37,0,0,0,5.46,4.37,0,0,1.09,0,0,0,2.19,8.74,0,3.28,0,9.84,0,1.09,1.09,0,0,6.56,0,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,3.83,0,1.53,0,0.77,0,4.6,6.89,0,0,4.6,0.77,3.83,0,0,3.06,0.77,0,0,2.3,0,0,0,0,0,1.53,0,0,0,1.53,0,0,0.77,0.77,0
120,0,0,11.76,0,7.84,0,0,0,5.88,9.8,0,0,1.96,0,0,0,0,3.92,0,1.96,1.96,11.76,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,1.96,1.96,0
