stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,0,0,0,0,87,0,0,0,0,0
 24-34,0,0,2.46,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,724.82,0,2.46,0,0,0,0,199.47,0,0,0,0,0
 36-46,0,0,0.81,0,0,21.75,0,0,0,4.03,0,0,0,0,0,0,0,0,0,3.22,0,0,0,1575.89,0,1.61,0,0,0,0,268.29,0,0,0,0,0.81
 48-58,0,0,4.02,0,0,207.72,0,0.57,0,17.79,0,0,0.57,0,0,0,0.57,0.57,0,8.03,0,1.15,2.3,2108.16,0,0.57,0.57,0,0.57,1.15,273.13,0,0,0.57,0,1.72
 60-70,0,0,1.96,0.98,0,601.67,0,0,0,29.45,0,0,0,2.94,0,0,0,1.96,0,15.7,0,0.98,0.98,2606.92,0,1.96,1.96,0,0,1.96,207.1,0,0,0,0,0.98
 72-82,0,1.96,12.76,1.96,0,959.08,0,0.98,1.96,52.03,0.98,0.98,1.96,0.98,0.98,0.98,0.98,0,0.98,30.43,0,0.98,1.96,2957.75,0,1.96,1.96,0,0.98,2.94,123.69,1.96,0,5.89,0.98,1.96
 84-94,0,1.06,21.24,4.25,0,549.07,0,1.06,1.06,41.42,2.12,0,1.06,0,1.06,0,0,0,0,22.3,0,5.31,2.12,1336.04,1.06,2.12,2.12,0,0,1.06,60.54,2.12,0,1.06,3.19,1.06
 96-106,0,0,15.3,4.37,1.09,511.45,0,1.09,1.09,60.11,1.09,0,0,0,0,1.09,0,5.46,0,31.69,1.09,2.19,0,1274.26,0,1.09,2.19,0,0,1.09,29.51,4.37,0,2.19,0,2.19
108-118,0,0,19.15,1.53,0,418.22,0.77,0,2.3,29.11,1.53,0,0,2.3,0,0.77,0,0.77,0,22.21,0,2.3,2.3,1468.35,0,2.3,3.06,0,0,1.53,18.38,1.53,0.77,3.06,2.3,0
120,0,0,23.52,3.92,1.96,335.12,0,1.96,1.96,21.56,3.92,0,0,3.92,0,0,1.96,1.96,0,15.68,1.96,3.92,1.96,1507.08,0,5.88,1.96,0,1.96,0,19.6,3.92,0,3.92,0,0
