stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,26.29,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,4.83,0,1.61,0,0,0,0,0,0,0,0,0.81,4.03,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,6.89,0,0.57,0.57,0,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,10.8,0,1.96,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,29.45,0.98,1.96,2.94,0,0.98,0,0,0.98,0,0,0,4.91,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,83.9,0,3.19,3.19,0,0,0,0,0,1.06,0,0,3.19,1.06,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,75.41,0,3.28,5.46,1.09,2.19,0,0,4.37,2.19,1.09,0,6.56,1.09,0,0,2.19,0,0,0,0,1.09,0
108-118,0,0,121.02,0,1.53,7.66,0,5.36,0,0.77,1.53,0.77,0,0,3.83,1.53,0.77,0,2.3,0,0,0,0,1.53,0.77
120,0,0,129.35,0,0,5.88,0,1.96,0,0,0,1.96,0,0,3.92,0,0,0,3.92,0,1.96,0,0,0,0
