stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,1,0,0,0,0,1,3,1,8,0,0,1,0,0
 24-34,0,0,5.75,0.82,0.82,0,0,0,0,1.64,0,0.82,2.46,0,0,0.82,0,0,6.57,0,0,2.46,37.76,0,1.64,9.03,0,0,3.28,0,0,0,0,15.6,0,0,3.28,0,0
 36-46,0,0,4.03,0,3.22,0,1.61,1.61,0.81,0,0,0,1.61,0.81,1.61,1.61,0,0.81,19.34,0,0.81,1.61,111.99,0,0.81,4.03,0,0,12.89,0.81,0,0.81,0,35.45,0,0,9.67,0,0
 48-58,0,0,3.44,0,17.79,0.57,1.72,1.15,1.15,0,0,0,2.3,0,0,2.3,0,1.72,18.36,0.57,0,1.15,141.16,0.57,1.15,9.18,0,0,7.46,0,0,0,0,31.56,0,0,8.61,0,0
 60-70,0,0,3.93,0,32.39,0,2.94,4.91,0.98,0,0,0.98,1.96,0,0,7.85,0.98,0,23.56,0,0,2.94,204.16,0.98,1.96,19.63,0,0,2.94,0,0,0,0,42.21,0,0,2.94,0,0
 72-82,0,0,3.93,0,46.14,0,1.96,9.82,9.82,2.94,0,0,4.91,0,0,23.56,0,0,41.23,0,1.96,0.98,279.77,0,2.94,44.17,0,0.98,12.76,0,0,0,0,41.23,0,0.98,8.83,0.98,0.98
 84-94,0,1.06,11.68,0,35.05,0,2.12,8.5,4.25,4.25,1.06,0,14.87,2.12,0,29.74,1.06,1.06,21.24,1.06,0,4.25,128.51,0,1.06,63.72,0,1.06,21.24,0,0,0,0,25.49,0,0,9.56,0,0
 96-106,0,0,13.11,0,31.69,0,2.19,5.46,8.74,10.93,0,1.09,10.93,4.37,0,43.71,2.19,1.09,30.6,0,0,1.09,142.07,0,2.19,77.59,0,1.09,10.93,0,0,0,0,17.49,1.09,0,3.28,1.09,1.09
108-118,0,0,13.79,0,23.74,0,0.77,3.06,8.43,5.36,0,0.77,10.72,1.53,2.3,22.98,0,0,17.62,1.53,1.53,2.3,132.51,0,0,58.98,0,0,7.66,0,0,0,0,9.96,0,0,9.19,0.77,1.53
120,0,0,7.84,1.96,35.28,0,3.92,1.96,13.72,0,0,0,1.96,0,1.96,23.52,0,0,25.48,0,1.96,0,213.62,0,0,66.63,0,0,1.96,0,0,0,0,19.6,0,0,3.92,0,0
