stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,4.1,4.1,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0.81,0.81,1.61,0,0,0,0,0,0,0,0,0,3.22,1.61,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,0,0,0,0,0,6.89,0,2.3,0.57,0.57,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,1.96,0.98,1.96,0,0.98,0,0,0,0,0,25.52,0.98,5.89,3.93,0.98,0,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,1.96,2.94,4.91,0.98,0.98,0.98,0,0,0,0,66.75,2.94,5.89,6.87,0,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,2.12,0,1.06,1.06,0,0,0,0,41.42,0,4.25,5.31,1.06,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,3.28,2.19,1.09,0,0,0,0,1.09,0,49.18,0,5.46,7.65,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,14.55,1.53,0.77,0,0,0.77,0,0,0,44.43,0,2.3,9.96,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,13.72,3.92,1.96,0,0,0,0,0,1.96,35.28,0,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0
