stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,84.97,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,2,4,0,0,0,1,1,8,0,2,40,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,4.93,9.03,3.28,0,0,0,0,0,0.82,0,0,4.93,1.64,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,9.67,0,4.83,2.42,2.42,0,0,0,0.81,0,0,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,3.44,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,9.75,0,1.15,10.33,0.57,0,0,0,0,0,0,0,0,0,1.15,0,1.72,0,0
 60-70,0,0,1.96,0,0.98,0,0,1.96,3.93,0,0,0,0,0,0,0,20.61,0,2.94,16.69,1.96,0,0,0.98,0,0,0,0,0,0,4.91,0,2.94,0,0
 72-82,0,0,4.91,0,1.96,0,0.98,2.94,2.94,0,0,0,0,0.98,0,0,27.49,0,3.93,18.65,0.98,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,1.96
 84-94,0,0,8.5,0,3.19,1.06,2.12,1.06,2.12,0,0,0,0,0,0,1.06,22.3,0,2.12,14.87,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,7.43,1.06,0
 96-106,0,0,9.84,0,4.37,0,2.19,0,8.74,0,1.09,3.28,0,0,0,0,20.76,0,0,7.65,3.28,0,0,0,0,0,0,0,0,0,2.19,1.09,8.74,0,1.09
108-118,0,0,11.49,0,0.77,0,3.06,0,4.6,0,0,0.77,0.77,0,0,0.77,14.55,0.77,1.53,13.02,2.3,0.77,0,0,0,0,0,0,0,0,2.3,0,7.66,0.77,0
120,0,0,19.6,1.96,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,15.68,0,3.92,23.52,3.92,0,0,0,1.96,0,0,0,0,0,1.96,0,5.88,1.96,0
