stage,axial,blastomeres,epidermis,glial,gut,heart,mesenchyme,neural,periderm,somites,spinal.cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,2,1,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0
