stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,6,0,0,0,0,1,0,0,0,0,0,0,3,11,0,1,0,1,2,5,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,2.46,0,0,0,10.67,0,0,0,0,0,4.1,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,4.83,0,0,1.61,0,0,2.42,0,0
 48-58,0.57,1.15,0,0,0.57,1.72,0,0,0,1.72,0,0,0.57,9.75,0,0,0.57,0,0,3.44,0,0
 60-70,0,1.96,0,0.98,0,1.96,0,0,0,6.87,0,0,0.98,6.87,0,0,2.94,0,0,3.93,0.98,0
 72-82,0,1.96,0.98,0.98,0,1.96,0,0,0,12.76,0,0.98,0,7.85,0,0,0,0,0,1.96,0,0
 84-94,0,2.12,0,0,1.06,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,1.09,0,0,0,2.19,2.19,1.09,0,0,4.37,1.09,1.09,1.09,3.28,1.09,0,1.09,0,0,0,3.28,1.09
108-118,0,0.77,0,0,0,0.77,0,0.77,0.77,1.53,0,0,0,3.06,0,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
