stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,11,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,6.57,16.42,0,3.28,9.03,0,0,1.64,0,0,0.82,0,2.46,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0.81,0,0,1.61,2.42,0,0,0,0,0,0,0,0,1.61,3.22,6.45,0,2.42,5.64,0,0,0.81,0,0,0.81,0,1.61,1.61,0.81,0.81,0,0,0,0,0
 48-58,0.57,0,0,0,0,2.3,1.15,0,0.57,1.15,0,1.15,0,0,0,1.15,6.89,9.18,0,6.31,6.31,0,0,4.02,0,0,2.3,0,3.44,1.15,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,4.91,3.93,0,0,1.96,0,0.98,0,0,0,0.98,13.74,2.94,0,2.94,7.85,0.98,0,4.91,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,4.91,3.93,0,2.94,6.87,18.65,0.98,0,0,0,6.87,120.74,9.82,0.98,4.91,24.54,0,0,9.82,0,0,1.96,0,32.39,4.91,0,0,0,0,0.98,0,1.96
 84-94,1.06,0,1.06,0,0,6.37,3.19,0,1.06,3.19,36.11,1.06,0,1.06,0,4.25,403.57,8.5,0,3.19,25.49,0,0,14.87,0,2.12,4.25,0,81.78,15.93,0,0,0,0,0,0,0
 96-106,2.19,3.28,4.37,4.37,1.09,30.6,5.46,3.28,0,15.3,174.86,3.28,1.09,2.19,0,13.11,680.84,8.74,0,7.65,114.75,1.09,1.09,15.3,0,0,8.74,0,77.59,5.46,0,5.46,0,0,5.46,0,0
108-118,2.3,3.83,4.6,3.06,2.3,11.49,2.3,0.77,0,3.83,314.04,0.77,0.77,0.77,1.53,6.89,1370.31,17.62,0.77,3.83,100.34,0.77,1.53,10.72,0,0.77,5.36,0,108,12.26,0,0.77,0.77,0.77,1.53,0.77,0
120,1.96,3.92,1.96,3.92,0,7.84,11.76,0,1.96,9.8,250.85,3.92,1.96,0,0,9.8,658.49,15.68,3.92,0,92.11,0,0,11.76,0,0,3.92,0,58.79,0,0,0,0,0,0,0,0
