stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,3.15,0,0,0,0,15.73,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,1,1,9,0,0,0,0,0,3,1,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,2.46,0.82,9.03,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,0,0,0.98,0,14.72,0,0,0,1.96,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,1.06,1.06,0,1.06,0,0,0,2.12,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,0,1.09,0,0,2.19,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,2.3,0,1.53,0,0,0,0.77,0,0,1.53,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
