stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,269.7,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,2.63,0,7.89,0,0,0,2.63,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,94.63,36.8,0,0,65.72,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,25.18,0,0,0,18.88,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,264.35,31.47,0,0,91.26,0,0,3.15,3.15,18.88,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,93,11,0,8,0,0,0,2,6,0,2,0,0,0,0,0,25,0,0,20,77,3,1,2,4,0,3,0,18,6,1,16,26,0,0,1,0,0
 24-34,0,0,0.82,0,27.09,2.46,0,10.67,0,0.82,1.64,13.13,1.64,0,4.1,0,0.82,0,1.64,0.82,40.22,0,0,20.52,100.97,0,3.28,4.1,0,0,4.1,0,0,4.93,0,6.57,32.83,0,0,8.21,0,0.82
 36-46,0,0,0,0,12.89,0,0,8.06,0,0.81,3.22,16.11,1.61,0,3.22,0,0.81,0,0,0,41.89,0.81,3.22,20.14,90.23,0.81,3.22,0.81,0,0,0.81,0,0,3.22,0.81,0,28.2,0,0,7.25,0,1.61
 48-58,0,0.57,0,0,2.3,0,0,7.46,0,2.3,1.72,28.69,0,0,4.59,0,0,0,0.57,0.57,60.25,1.15,1.15,10.33,24.67,0,3.44,1.15,0,0.57,1.15,0,0,0.57,0,0,15.49,0,0,4.02,0,1.15
 60-70,0,0,0,0,6.87,0,0,12.76,0,2.94,4.91,99.13,0,0,5.89,0,0,0,0.98,0,91.28,0,1.96,10.8,19.63,0,4.91,1.96,0,0.98,0,0,0,0.98,0,0,13.74,0,0.98,7.85,0,0
 72-82,0,0,0,0.98,11.78,0.98,0,13.74,0,0.98,9.82,95.22,2.94,0,5.89,0,0,1.96,2.94,0,92.28,0,0,4.91,11.78,0,13.74,9.82,0,0.98,1.96,0,0,1.96,0,0,7.85,0,0,13.74,0.98,0.98
 84-94,0,0,0,0,20.18,0,1.06,7.43,0,8.5,4.25,71.16,7.43,0,3.19,2.12,1.06,0,1.06,2.12,63.72,0,1.06,3.19,14.87,0,13.81,9.56,0,0,2.12,0,0,5.31,0,0,4.25,0,1.06,15.93,5.31,0
 96-106,0,0,0,0,21.86,0,0,13.11,0,1.09,3.28,41.53,18.58,0,12.02,1.09,1.09,4.37,4.37,0,45.9,0,0,6.56,14.21,0,14.21,16.39,0,4.37,1.09,0,0,0,0,0,5.46,0,2.19,19.67,4.37,0
108-118,0,0,0,0.77,22.21,0.77,0,4.6,0.77,6.89,3.06,36.77,16.85,0,2.3,0,0,2.3,5.36,2.3,38.3,0,1.53,2.3,12.26,0,10.72,9.96,0,1.53,2.3,0,0,3.06,0,0,4.6,1.53,2.3,13.02,3.83,0
120,0,0,0,0,13.72,0,0,1.96,0,1.96,0,35.28,1.96,0,1.96,0,0,1.96,0,3.92,35.28,0,0,1.96,9.8,0,3.92,5.88,0,0,0,0,0,5.88,0,0,1.96,1.96,1.96,11.76,1.96,0
