stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,632,18,0,29,0,0,0,0,0,1,0,0,0,3,2,0,5,14,5,0,2,2,0,8,1,5,2,1,6,5,0,0,9,0,0
 24-34,0,0,0,0,236.41,0.82,1.64,129.7,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,31.19,0.82,0.82,0,0,0,7.39,0,0,0,0,1.64,4.1,0,0,5.75,0,0
 36-46,0,0,0,0,83.79,0,4.03,102.32,0,0,0,0,0,0.81,0.81,0,0,3.22,0.81,0,0.81,16.11,0,0.81,0,0,0,12.89,0,0,0,0,0,3.22,0,0,2.42,0,0
 48-58,0,0,0,0,79.19,0,7.46,113.61,0,1.15,0,1.15,0,1.72,0,0.57,0,2.3,2.87,0.57,0,22.95,0,1.15,0,0,0,16.07,0,0,0,0,0,2.87,0,0,1.72,0,0
 60-70,0,0,0,0,87.36,0.98,6.87,105.02,0.98,0.98,0,0,0,11.78,0,0,0,0,0.98,0,0,22.58,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,91.29,0.98,8.83,105.04,0.98,0.98,0,0,0,8.83,0,0,0,6.87,0.98,0,0,29.45,0,1.96,0,0,0,12.76,0,0,0.98,0,0,0.98,2.94,0.98,2.94,0,0
 84-94,0,0,1.06,0,144.44,1.06,6.37,226.21,0,1.06,2.12,0,0,26.55,1.06,0,0,2.12,1.06,0,2.12,19.12,0,0,0,0,1.06,28.68,0,0,0,0,0,2.12,14.87,0,2.12,0,1.06
 96-106,0,0,1.09,0,123.49,0,6.56,202.18,0,2.19,4.37,0,2.19,18.58,0,1.09,0,4.37,1.09,0,0,17.49,0,1.09,0,0,1.09,26.23,0,0,0,0,0,2.19,8.74,0,3.28,1.09,0
108-118,0,0,0,0.77,103.41,0,3.83,248.94,1.53,0.77,6.13,0.77,0,17.62,0,0,0,1.53,0.77,0,3.83,16.09,0,2.3,0,0,1.53,9.19,0,0,1.53,0,0,0,24.51,0,1.53,0,0
120,0,0,0,0,66.63,0,0,166.58,0,0,3.92,0,0,7.84,0,1.96,1.96,3.92,0,0,0,15.68,0,1.96,0,0,0,9.8,0,0,0,0,0,0,7.84,0,0,0,0
