stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,31.47,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,1,17,0,0,0,0,0,1,1,0,5,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,5.75,0.82,7.39,27.91,0,0,0.82,0,0,0.82,0,0.82,5.75,0,2.46,0,0
 36-46,0,0,0,0.81,5.64,0,0,0,4.83,0,0,0.81,0,0,0,0,19.34,0,4.03,22.56,0,0,0,0,0,0.81,0,0,9.67,0,3.22,0,0
 48-58,0,0,0,0,2.3,0.57,0,0.57,3.44,0,0,0,0,0,0,0.57,22.38,0,2.87,8.03,0,0,0,0,0,0.57,0,0,8.03,0.57,1.72,0,0
 60-70,0,0,0,0,6.87,0,0,0,10.8,0,0,0,0,0,0,0,35.33,0.98,0,4.91,0,0.98,0,0,0,0,0,0,3.93,1.96,0.98,0,0.98
 72-82,0,0,1.96,0.98,1.96,0,0,0,12.76,0.98,0,0,2.94,0.98,0.98,0,39.27,1.96,2.94,5.89,0,0,0,0,0,0.98,0,0,1.96,1.96,3.93,0,1.96
 84-94,0,0,4.25,1.06,9.56,0,0,1.06,10.62,0,0,0,3.19,2.12,0,0,36.11,0,3.19,4.25,0,1.06,0,0,0,0,0,0,1.06,1.06,5.31,1.06,1.06
 96-106,0,0,4.37,3.28,5.46,0,1.09,1.09,8.74,2.19,0,0,3.28,0,0,0,30.6,0,1.09,4.37,0,0,0,0,2.19,1.09,0,0,0,0,3.28,3.28,0
108-118,0,0,3.06,1.53,2.3,0,0,3.06,3.06,0,0,0,1.53,0,1.53,0,26.04,1.53,2.3,3.06,0.77,0,2.3,0,0,0,0,0,0,0.77,3.06,0,1.53
120,0,0,0,0,1.96,0,0,0,7.84,0,0,0,3.92,0,0,1.96,13.72,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0
