stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,94.63,7.89,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,198.26,15.73,0,0,37.76,0,0,0,12.59,0,6.29,0,0,0,0
 14-21,0,0,3,0,15,4,0,0,0,0,94,0,0,0,1,0,13,0,1,49,6,6,14,8,0,2,2,76,0,258,0,0,0,0
 24-34,0,0,0,0,1.64,0,2.46,0,0.82,0,63.21,0,0,0,0,2.46,3.28,0,0.82,55,0.82,31.19,5.75,0,0,0,0,63.21,2.46,141.19,0,0,0.82,0
 36-46,0,0,0.81,0,2.42,0,1.61,0,0.81,0,28.2,0,0,0,0,0.81,0.81,0,0.81,48.34,0,49.15,4.03,0,0,0,0,23.36,0,81.37,0,0,0,0
 48-58,0,0,0,0,0,0,4.02,0,1.15,0.57,33.85,0,0,0,0.57,1.72,1.15,0,0,24.1,0,35,2.87,0,0,0,0,6.89,0,65.99,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,2.94,0,2.94,0,40.24,0.98,0,0,0,4.91,1.96,0,0,24.54,0,40.24,7.85,0,0,0,0,4.91,0,36.32,0,0,0.98,0
 72-82,0,0,7.85,0,0.98,0,7.85,0,1.96,0,53.99,4.91,0,0,0,4.91,4.91,0.98,0,28.47,0,61.84,17.67,0,0,0,0,2.94,0,21.6,0,0,0,0
 84-94,0,0,8.5,1.06,2.12,0,9.56,0,2.12,0,28.68,6.37,0,1.06,0,2.12,2.12,0,0,7.43,0,56.29,10.62,0,2.12,0,0,7.43,0,21.24,0,0,0,1.06
 96-106,0,0,2.19,4.37,1.09,1.09,7.65,0,0,0,31.69,9.84,0,0,0,16.39,1.09,0,0,13.11,0,101.63,22.95,0,1.09,0,0,3.28,0,16.39,0,0,0,0
108-118,0,0,2.3,3.83,2.3,0,6.89,0.77,0,0.77,14.55,2.3,0,0,0,6.89,0,0,0,9.19,0,47.49,10.72,0,0,0,0,5.36,0,9.96,1.53,0,0.77,0
120,0,0,1.96,1.96,1.96,0,3.92,0,0,0,7.84,3.92,0,0,0,9.8,0,0,0,9.8,0,43.12,9.8,0,0,0,0,5.88,0,9.8,1.96,1.96,0,0
