stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,1,0,4,0,0,0,1,1,1,0,1,0,0,0,0,4,0,7,38,0,0,0,1,0,0,17,0,1,42,15,0,1,0,0
 24-34,0,0,0.82,0,0,0,6.57,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0,12.31,0,4.93,53.36,0,1.64,0.82,0,0,1.64,0,0.82,0,3.28,6.57,0,0.82,0,0.82
 36-46,0,0,0,1.61,0.81,0,10.47,0,0,0.81,0.81,0,1.61,0,0,0,0,0,0,14.5,0,4.03,87.82,0,3.22,0.81,0.81,0,2.42,0,1.61,0,0,13.7,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,13.2,0,0,0,5.16,0,0.57,0,0,0,0,0,0,12.62,0,2.3,67.14,0.57,1.15,0,0,0,2.87,0,0.57,0,0,10.33,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,55.95,0.98,0,0.98,10.8,0,0.98,0,0,0,0,0,0,19.63,0,3.93,135.45,0.98,0.98,0,0,0,1.96,0,0.98,0,0,20.61,0,0.98,0,0.98
 72-82,0,0.98,0.98,0.98,13.74,0,18.65,0,0.98,0,3.93,0.98,0,0,0.98,0,0,0,0,20.61,0,0.98,43.19,0,0,0,0,0,2.94,0,1.96,0,0,2.94,0,0,0,0
 84-94,0,0,0,2.12,5.31,0,7.43,0,0,2.12,4.25,1.06,1.06,1.06,0,0,0,0,1.06,16.99,2.12,5.31,41.42,0,0,1.06,0,0,4.25,0,0,0,0,2.12,2.12,4.25,0,0
 96-106,0,0,0,3.28,15.3,0,13.11,0,0,0,6.56,1.09,2.19,1.09,1.09,0,1.09,1.09,1.09,12.02,2.19,3.28,30.6,0,1.09,1.09,0,0,5.46,0,0,0,0,1.09,2.19,3.28,2.19,1.09
108-118,0,0.77,0,3.83,9.19,1.53,10.72,0.77,0,0,8.43,0,0,1.53,0,0.77,0,0,0,9.19,0,0.77,33.7,1.53,0,1.53,0,0.77,3.83,0,0,0,0,0,0,0.77,0,0
120,0,0,0,3.92,9.8,0,13.72,1.96,0,1.96,7.84,1.96,0,1.96,0,3.92,0,0,0,27.44,0,5.88,50.95,0,0,0,0,0,3.92,0,1.96,0,0,3.92,0,3.92,3.92,0
