stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,21.03,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,1,2,10,0,1,0,0,1,175,161,0,0
 24-34,0,0,0.82,0.82,0,5.75,77.98,0,2.46,0,0,0.82,3.28,27.09,43.51,0,0,0,0.82,0.82,74.7,196.18,9.85,0.82
 36-46,0,0,0,0,0,6.45,44.31,0,0,0,0,0,2.42,11.28,17.72,0,0.81,0,4.03,0,2.42,5.64,8.06,0
 48-58,0,0,0,0,0,2.3,6.89,0,1.15,0,0,0,2.3,0.57,8.61,0,0,0,0.57,0,0.57,0,2.3,0
 60-70,0,0,0,0,0,2.94,3.93,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,3.93,7.85,0,0,0.98,0,0,4.91,0,5.89,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,11.68,0,0,0,0,0,1.06,3.19,3.19,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,20.76,0,0,0,1.09,0,1.09,2.19,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,21.45,0.77,0.77,0,0,0,1.53,3.06,3.06,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,0,19.6,0,0,1.96,0,0,3.92,3.92,1.96,0,0,0,1.96,0,0,0,0,0
