stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,131.44,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,22.03,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,3,2,5,3,0,0,0,0,0,6,0,4,87,1,0,2,3,0,2,0,6,0,10,41,1,0
 24-34,0,0,0,0,0,13.13,0.82,0.82,0,0,0,0,9.85,0,3.28,96.04,0,0,0,0,0.82,2.46,0,0,0,0.82,20.52,0,0
 36-46,0,0,0,1.61,0,14.5,5.64,0,0,0,0,0,6.45,0,1.61,47.53,0,0.81,0,0,0,2.42,0,0,0,0,7.25,0,0
 48-58,0,0,0,1.72,0,13.2,2.3,0.57,0,0,0,0,3.44,0.57,0,13.2,0,0,0,0,0,0.57,0,0,0,0,4.59,0,0
 60-70,0,0,0,2.94,0,4.91,2.94,0.98,0,0,0,0,7.85,0,1.96,9.82,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,1.96,0,0,0,0,0,5.89,0,0.98,3.93,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,2.12,0,0,6.37,2.12,2.12,9.56,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,4.37,5.46,1.09,0,1.09,0,0,3.28,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,2.3,6.89,0.77,0,0,0.77,0.77,2.3,0,0,13.02,0,0,0.77,0,0,1.53,0,0,0,0,0,0.77,1.53
120,0,0,0,1.96,0,3.92,1.96,0,0,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0
