stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,3,0,5,3,0,0,0
 24-34,0,0.82,3.28,0,0,3.28,0,0,0,1.64,0.82,0,0,0,0.82,0,0,1.64,0,0.82,36.12,2.46,0,0,0,0,1.64,0.82,11.49,0,0,0
 36-46,0,0,0,0,0,8.06,0,0,0.81,4.83,0,0,0,0,0,0.81,0,3.22,0,0.81,30.62,8.86,0,0,0.81,0,0,0,4.83,0,1.61,0.81
 48-58,0,0,0.57,0,0,4.59,0.57,0,0,2.87,0,1.15,0,0,0,0,0,5.74,0.57,0.57,27.54,8.61,0,0,0,0,0,0,4.59,0,0.57,0.57
 60-70,0,0,0,0,0,7.85,0,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0.98,21.59,6.87,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0.98,0,6.87,0,0,0,0.98,0,0,0,0,0,0,0.98,2.94,0,0,20.61,8.83,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,2.12,0,5.31,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06,14.87,9.56,0,0,2.12,0,0,0,2.12,1.06,0,0
 96-106,0,0,1.09,0,0,2.19,1.09,0,0,0,0,0,1.09,0,0,1.09,0,4.37,0,1.09,14.21,7.65,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,1.53,3.06,0,0.77,0,0,0,0,0.77,0,0,0,0,6.13,0,0.77,9.19,4.6,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,1.96,0,1.96,3.92,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,5.88,9.8,0,0,0,0,0,0,0,0,1.96,0
