stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,7.39,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0,0,0.81,41.09,0,0,3.22,8.06,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,5.16,0,0,9.18,0.57,0,0,0,0,0,0,0.57,100.99,0,0,14.35,14.92,0,0,0.57,0,0.57,0,0,2.3,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,13.74,0,0,31.41,2.94,0,0,0,0,0,0,0,261.08,0,0,30.43,24.54,0.98,0.98,0,0,0.98,0,0,2.94,1.96,0.98,0,0
 72-82,0,0,0,4.91,2.94,0,58.9,0.98,1.96,63.81,6.87,0.98,0,0,0,1.96,0,0.98,681.27,0,2.94,70.68,46.14,0,0.98,0.98,0,0,0,0.98,2.94,3.93,0.98,1.96,0.98
 84-94,0,0,0,6.37,1.06,0,56.29,1.06,3.19,37.17,8.5,1.06,0,1.06,0,2.12,0,2.12,572.44,1.06,2.12,42.48,25.49,2.12,0,1.06,0,2.12,0,0,1.06,5.31,2.12,1.06,1.06
 96-106,0,0,1.09,14.21,7.65,2.19,71.04,0,5.46,52.46,10.93,3.28,1.09,3.28,0,1.09,1.09,0,785.76,1.09,2.19,52.46,54.64,1.09,2.19,0,0,3.28,0,0,1.09,4.37,1.09,1.09,1.09
108-118,0,0,0,6.89,0.77,0.77,25.28,0.77,1.53,45.96,9.96,0.77,0,1.53,2.3,0,0,0.77,806.56,0.77,0.77,55.15,47.49,0,0.77,0.77,0.77,3.06,1.53,0,0.77,9.19,0,2.3,0.77
120,1.96,0,0,9.8,3.92,0,25.48,1.96,3.92,50.95,5.88,0,0,0,0,1.96,1.96,1.96,680.05,0,0,37.24,37.24,1.96,0,0,0,3.92,0,0,0,3.92,0,0,0
