stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,4,4,1,0,1,8,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0.82,0,0.82,17.24,0,0,0,42.68,0,0,0,0,12.31,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,4.83,0,0,0,49.95,0,0,0,0,3.22,0,0.81,0,0.81
 48-58,0,0,0.57,0,2.87,0.57,1.72,0,1.72,0.57,0,0,0,0,0,0,0.57,5.74,0.57,0.57,0.57,8.61,0,0,0,42.46,0,0,0.57,0,2.3,0,0,0,0.57
 60-70,0,0,3.93,0,0.98,0,1.96,0,1.96,0,0,0,0,0.98,0.98,0,0,5.89,0,0,1.96,4.91,0,0,0,43.19,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,2.94,0,0.98,0,0,0,0,0,0,9.82,0,0.98,0.98,13.74,0,0,0,27.49,0,0,0,0,0,1.96,1.96,0,0
 84-94,0,0,1.06,0,3.19,1.06,3.19,1.06,2.12,0,0,0,0,0,0,0,0,6.37,1.06,2.12,2.12,5.31,1.06,0,0,67.97,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,5.46,1.09,4.37,1.09,0,1.09,1.09,2.19,1.09,1.09,0,0,0,0,0,10.93,0,0,1.09,5.46,0,0,0,37.16,0,0,0,0,0,0,1.09,1.09,0
108-118,0.77,0,3.06,0,4.6,0,1.53,0,1.53,0.77,0,0,0,0,0,0,0,7.66,0.77,0,0.77,3.06,0.77,0.77,0,21.45,0,0,0,0,0.77,0.77,0,0,0
120,0,0,3.92,0,1.96,0,1.96,0,1.96,5.88,0,1.96,1.96,0,0,3.92,0,0,0,0,0,3.92,1.96,0,0,23.52,0,0,0,0,0,0,1.96,0,0
