stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,10,0,0,0,1,0,0,20,0,1,4,7,0,0,0,0,0
 24-34,0,0,2.46,0,3.28,0,0,0,1.64,0,0,0,0,0,0,0,4.1,0,0,7.39,59.1,0.82,0,0,0,0,0,0.82,0.82,1.64,7.39,26.27,0,0,0.82,0,1.64
 36-46,0,0,0,0,6.45,0,4.83,0.81,1.61,0.81,3.22,0,0,0.81,0,0.81,10.47,0,0,2.42,104.74,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0.81
 48-58,0,0,0,0,30.41,0,3.44,0.57,6.31,0,1.72,0.57,0,0,0,0,24.1,0,0,3.44,134.27,0,0,0,0,0,0,0,0,0,0,39.02,0,1.15,0,0,0
 60-70,0,0,1.96,0,28.46,0,1.96,0.98,10.8,0,0,0,0,0,0,0,43.19,0,0,1.96,201.21,0,0.98,0.98,0,0.98,0,0,0,0,0,41.22,0,2.94,0.98,0,0
 72-82,0,0,1.96,1.96,50.06,0,0.98,0,32.39,0,0,0,0,0,0.98,0,63.81,0.98,2.94,2.94,270.94,0,0,0,0,0.98,0,0,0,0,0,33.38,0.98,7.85,4.91,0,0.98
 84-94,0,1.06,1.06,0,42.48,0,0,2.12,8.5,0,1.06,0,0,0,0,0,40.36,0,4.25,1.06,132.75,0,1.06,0,0,1.06,1.06,0,0,0,0,9.56,0,2.12,4.25,0,0
 96-106,0,1.09,1.09,0,33.88,0,2.19,0,14.21,1.09,0,1.09,1.09,0,0,0,26.23,1.09,0,3.28,151.91,0,0,1.09,0,0,2.19,0,0,0,0,13.11,1.09,1.09,3.28,2.19,1.09
108-118,0,0,1.53,0.77,27.57,0.77,0,0.77,9.19,0.77,0,0,0,1.53,0,0,40.6,0,0,0,160.85,0,0,1.53,0,1.53,0.77,0,0,0,0,3.83,0,0,2.3,0,0
120,0,0,1.96,0,37.24,0,0,0,17.64,0,0,0,0,0,0,0,9.8,0,0,5.88,164.62,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,3.92,0,0
